metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,list_price,price,status_bucket,status_raw,input_date,closed_date,last_checked_date,status_changed
"Little Rock, AR",White Oak Crossing,Lennar,,Fitzgerald Lane,8200 Fitzgerald Lane,3,1249,199970,199970,sold,SLD,3/28/2025 12:51 PM,8/14/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,25 Ten Point Lane,3,1523,189900,200000,sold,SLD,2/26/2025 3:37 PM,10/21/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6072 Croft Avenue,3,1243,201900,200000,sold,SLD,1/5/2025 8:06 PM,3/25/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6672 Hollywood Avenue,3,1243,205650,200000,sold,SLD,4/8/2026 11:43 AM,5/20/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,110 Sarah Alyse Lane,3,1402,202900,200400,sold,SLD,3/20/2025 3:10 PM,9/25/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,120 Sarah Alyse Lane,4,1459,200860,200800,sold,SLD,7/2/2025 9:03 AM,10/10/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ruger Cove,11 Ruger Cove,4,1613,200805,200805,sold,SLD,12/2/2025 2:43 PM,2/24/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,122 Powder River Drive,3,1472,200900,200900,sold,SLD,5/6/2026 12:37 PM,7/10/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,102 Powder River Drive,4,1613,202425,201000,sold,SLD,4/9/2026 3:42 PM,7/10/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,109 Powder River Drive,4,1613,204295,201000,sold,SLD,2/3/2026 1:16 PM,6/30/2026,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Ted Craig Drive,3140 Ted Craig Drive,3,1243,208225,201175,sold,SLD,12/30/2025 2:16 PM,3/31/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,165 Sarah Alyse Lane,3,1362,201225,201225,withdrawn,WITH,8/5/2025 10:28 AM,,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ruger Cove,10 Ruger Cove,3,1523,201225,201225,sold,SLD,1/6/2026 1:33 PM,3/31/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Sig Cove,12 Sig Cove,3,1355,199775,201275,sold,SLD,3/11/2025 9:24 AM,6/30/2025,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,128 Powder River Drive,4,1496,201900,201900,for_sale,ACT,6/18/2026 1:17 PM,,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1048 Raven Walk Drive,3,1301,207900,202000,sold,SLD,3/27/2026 11:04 AM,7/16/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1028 Raven Walk Drive,3,1248,202450,202450,sold,SLD,3/27/2026 11:36 AM,6/30/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,150 Maddison Rachael,4,1699,203750,202750,sold,SLD,1/29/2026 1:42 PM,4/27/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Remington Lane,44 Remington Lane,3,1633,204780,202780,sold,SLD,10/2/2025 3:52 PM,1/29/2026,2026-08-03,
