listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,bdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"18661 Facet Rd, Summerdale, AL 36580",18661 Facet Rd,Summerdale,AL,,forRent,4,1810,,1850,19,https://www.zillow.com/homedetails/18661-Facet-Rd-Summerdale-AL-36580/465041464_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"31468 Memphis Loop, Spanish Fort, AL 36527",31468 Memphis Loop,Spanish Fort,AL,,forRent,4,1846,,2250,40,https://www.zillow.com/homedetails/31468-Memphis-Loop-Spanish-Fort-AL-36527/2068386238_zpid/,,,317000,2026-08-26T00:00:00.000Z,Price change,2026-08-14T00:00:00.000Z,Listed for rent,2026-08-07T00:00:00.000Z,Sold,2026-07-01T00:00:00.000Z,Listing removed,2026-06-16T00:00:00.000Z,Listed for rent,2026-06-16T00:00:00.000Z,Price change
"18697 Facet Rd, Summerdale, AL 36580",18697 Facet Rd,Summerdale,AL,,forRent,4,1810,,1850,19,https://www.zillow.com/homedetails/18697-Facet-Rd-Summerdale-AL-36580/465041476_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"20040 Clover Field Ln, Summerdale, AL 36580",20040 Clover Field Ln,Summerdale,AL,,forRent,4,1810,,2045,19,https://www.zillow.com/homedetails/20040-Clover-Field-Ln-Summerdale-AL-36580/465041436_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"10341 Buffalo St, Foley, AL 36535",10341 Buffalo St,Foley,AL,,forRent,3,1569,,1800,19,https://www.zillow.com/homedetails/10341-Buffalo-St-Foley-AL-36535/463944491_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-01T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Price change,2026-07-25T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for sale
"10305 Buffalo St, Foley, AL 36535",10305 Buffalo St,Foley,AL,,forRent,3,1413,,1755,11,https://www.zillow.com/homedetails/10305-Buffalo-St-Foley-AL-36535/464140308_zpid/,,,,2026-09-11T00:00:00.000Z,Listed for rent,2026-08-15T00:00:00.000Z,Listing removed,2026-08-01T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Price change,2026-07-25T00:00:00.000Z,Listed for sale,,
"20018 Clover Field Ln, Summerdale, AL 36580",20018 Clover Field Ln,Summerdale,AL,,forRent,4,1732,,1995,19,https://www.zillow.com/homedetails/20018-Clover-Field-Ln-Summerdale-AL-36580/465041468_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"19161 Pagoda Ln, Summerdale, AL 36580",19161 Pagoda Ln,Summerdale,AL,,forRent,4,1504,,2300,6,https://www.zillow.com/homedetails/19161-Pagoda-Ln-Summerdale-AL-36580/465337465_zpid/,,,,2026-09-17T00:00:00.000Z,Listed for rent,,,,,,,,,,
"19976 Clover Field Ln, Summerdale, AL 36580",19976 Clover Field Ln,Summerdale,AL,,forRent,3,1569,,1845,11,https://www.zillow.com/homedetails/19976-Clover-Field-Ln-Summerdale-AL-36580/465209719_zpid/,,,,2026-09-11T00:00:00.000Z,Listed for rent,,,,,,,,,,
"20052 Clover Field Ln, Summerdale, AL 36580",20052 Clover Field Ln,Summerdale,AL,,forRent,3,1413,,1795,19,https://www.zillow.com/homedetails/20052-Clover-Field-Ln-Summerdale-AL-36580/465041471_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"18864 Zoysia Loop, Foley, AL 36535",18864 Zoysia Loop,Foley,AL,,forRent,4,1707,,1895,19,https://www.zillow.com/homedetails/18864-Zoysia-Loop-Foley-AL-36535/463866352_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-31T00:00:00.000Z,Price change,2026-07-25T00:00:00.000Z,Price change,2026-07-14T00:00:00.000Z,Listed for sale,,
"10387 Buffalo St, Foley, AL 36535",10387 Buffalo St,Foley,AL,,forRent,4,1810,,1945,19,https://www.zillow.com/homedetails/10387-Buffalo-St-Foley-AL-36535/465041450_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"10375 Buffalo St, Foley, AL 36535",10375 Buffalo St,Foley,AL,,forRent,4,1732,,1895,19,https://www.zillow.com/homedetails/10375-Buffalo-St-Foley-AL-36535/463944498_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-01T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Price change,2026-07-25T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for sale
"14531 Dayton Cir, Foley, AL 36535",14531 Dayton Cir,Foley,AL,,forRent,4,2031,,2400,7,https://www.zillow.com/homedetails/14531-Dayton-Cir-Foley-AL-36535/462698096_zpid/,,,324000,2026-09-21T00:00:00.000Z,Price change,2026-09-15T00:00:00.000Z,Listed for rent,2026-08-24T00:00:00.000Z,Sold,2026-07-02T00:00:00.000Z,Pending sale,2026-05-27T00:00:00.000Z,Listed for sale,,
"18156 Zoysia Loop, Foley, AL 36535",18156 Zoysia Loop,Foley,AL,,forRent,4,1810,,1945,19,https://www.zillow.com/homedetails/18156-Zoysia-Loop-Foley-AL-36535/464376380_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-06T00:00:00.000Z,Listed for sale,,,,,,
"18883 Zoysia Loop, Foley, AL 36535",18883 Zoysia Loop,Foley,AL,,forRent,4,1707,,1895,19,https://www.zillow.com/homedetails/18883-Zoysia-Loop-Foley-AL-36535/465041447_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"14578 Dayton Cir, Foley, AL 36535",14578 Dayton Cir,Foley,AL,,forRent,4,2031,,2400,7,https://www.zillow.com/homedetails/14578-Dayton-Cir-Foley-AL-36535/447119813_zpid/,,,322000,2026-09-21T00:00:00.000Z,Price change,2026-09-15T00:00:00.000Z,Listed for rent,2025-03-31T00:00:00.000Z,Sold,2025-03-18T00:00:00.000Z,Pending sale,2025-03-16T00:00:00.000Z,Price change,2025-02-07T00:00:00.000Z,Pending sale
"15361 Planters Ln, Foley, AL 36535",15361 Planters Ln,Foley,AL,,forRent,4,1732,,1945,19,https://www.zillow.com/homedetails/15361-Planters-Ln-Foley-AL-36535/465041462_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"13437 Antler Hill Rd, Spanish Fort, AL 36527",13437 Antler Hill Rd,Spanish Fort,AL,,forRent,4,1931,,2350,26,https://www.zillow.com/homedetails/13437-Antler-Hill-Rd-Spanish-Fort-AL-36527/2058500497_zpid/,,,319950,2026-08-27T00:00:00.000Z,Listed for rent,2026-08-04T00:00:00.000Z,Listing removed,2026-05-26T00:00:00.000Z,Listed for sale,2024-11-19T00:00:00.000Z,Sold,2023-06-16T00:00:00.000Z,Sold,2023-05-17T00:00:00.000Z,Price change
"3911 Camino St, Foley, AL 36535",3911 Camino St,Foley,AL,,forRent,4,2000,,2045,19,https://www.zillow.com/homedetails/3911-Camino-St-Foley-AL-36535/463785339_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-11T00:00:00.000Z,Price change,2026-07-10T00:00:00.000Z,Listed for sale,,,,
"31436 Memphis Loop, Spanish Fort, AL 36527",31436 Memphis Loop,Spanish Fort,AL,,other,4,1948,,381700,1393,https://www.zillow.com/homedetails/31436-Memphis-Loop-Spanish-Fort-AL-36527/2067469020_zpid/,,,359800,2026-09-14T00:00:00.000Z,Listing removed,2026-09-13T00:00:00.000Z,Listed for rent,2026-09-12T00:00:00.000Z,Listing removed,2026-08-28T00:00:00.000Z,Price change,2026-08-04T00:00:00.000Z,Listed for rent,2025-07-31T00:00:00.000Z,Listing removed
"15375 Planters Ln, Foley, AL 36535",15375 Planters Ln,Foley,AL,,forRent,4,1891,,1995,19,https://www.zillow.com/homedetails/15375-Planters-Ln-Foley-AL-36535/463785362_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-25T00:00:00.000Z,Price change,2026-07-14T00:00:00.000Z,Price change,2026-07-10T00:00:00.000Z,Listed for sale,,
"3892 Camino St, Foley, AL 36535",3892 Camino St,Foley,AL,,forRent,4,2000,,2045,19,https://www.zillow.com/homedetails/3892-Camino-St-Foley-AL-36535/465041452_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"13898 Antler Hill Rd, Spanish Fort, AL 36527",13898 Antler Hill Rd,Spanish Fort,AL,,sold,4,1948,,360400,665,https://www.zillow.com/homedetails/13898-Antler-Hill-Rd-Spanish-Fort-AL-36527/405553127_zpid/,,,360400,2026-09-07T00:00:00.000Z,Listing removed,2026-09-02T00:00:00.000Z,Price change,2026-08-21T00:00:00.000Z,Listed for rent,2024-11-27T00:00:00.000Z,Sold,2024-11-08T00:00:00.000Z,Pending sale,2024-11-06T00:00:00.000Z,Price change
"4306 Lost Bay Dr #1, Orange Beach, AL 36561",4306 Lost Bay Dr #1,Orange Beach,AL,,forRent,3,,,2300,4,https://www.zillow.com/homedetails/4306-Lost-Bay-Dr-1-Orange-Beach-AL-36561/459688316_zpid/,,,,2026-09-23T00:00:00.000Z,Listed for rent,2026-09-21T00:00:00.000Z,Listing removed,2026-08-30T00:00:00.000Z,Listed for rent,2026-05-26T00:00:00.000Z,Listing removed,2026-03-02T00:00:00.000Z,Listed for rent,2026-03-02T00:00:00.000Z,Listing removed
"22360 Aleutian Ave, Foley, AL 36535",22360 Aleutian Ave,Foley,AL,,forRent,4,1800,,2000,32,https://www.zillow.com/homedetails/22360-Aleutian-Ave-Foley-AL-36535/2057095002_zpid/,,,309900,2026-09-21T00:00:00.000Z,Price change,2026-09-14T00:00:00.000Z,Price change,2026-09-02T00:00:00.000Z,Price change,2026-08-21T00:00:00.000Z,Listed for rent,2023-11-29T00:00:00.000Z,Sold,2023-07-12T00:00:00.000Z,Contingent
"22396 Aleutian Ave, Foley, AL 36535",22396 Aleutian Ave,Foley,AL,,sold,4,1387,,300000,1000,https://www.zillow.com/homedetails/22396-Aleutian-Ave-Foley-AL-36535/2057095001_zpid/,,,300000,2026-09-22T00:00:00.000Z,Listing removed,2026-06-24T00:00:00.000Z,Listed for rent,2024-05-07T00:00:00.000Z,Listing removed,2024-04-16T00:00:00.000Z,Listed for rent,2024-04-07T00:00:00.000Z,Listing removed,2024-02-20T00:00:00.000Z,Price change
"13824 Shea Cir, Foley, AL 36535",13824 Shea Cir,Foley,AL,,other,3,1200,,0,65,https://www.zillow.com/homedetails/13824-Shea-Cir-Foley-AL-36535/456892388_zpid/,,,,2026-09-15T00:00:00.000Z,Listing removed,2026-09-01T00:00:00.000Z,Price change,2026-08-08T00:00:00.000Z,Listed for rent,2026-07-22T00:00:00.000Z,Listing removed,2026-07-22T00:00:00.000Z,Price change,2026-07-20T00:00:00.000Z,Listed for rent
"4310 Lost Bay Dr #4310, Orange Beach, AL 36561",4310 Lost Bay Dr #4310,Orange Beach,AL,,forRent,3,1437,,3250,9,https://www.zillow.com/homedetails/4310-Lost-Bay-Dr-4310-Orange-Beach-AL-36561/464334411_zpid/,,,,2026-09-14T00:00:00.000Z,Listed for rent,2026-09-05T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Listed for rent,,,,,,
"22257 Seabrooke Ave, Foley, AL 36535",22257 Seabrooke Ave,Foley,AL,,forRent,4,1924,,2400,6,https://www.zillow.com/homedetails/22257-Seabrooke-Ave-Foley-AL-36535/341947469_zpid/,,,354558,2026-09-16T00:00:00.000Z,Listed for rent,2026-08-31T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Price change,2026-07-13T00:00:00.000Z,Price change,2026-06-03T00:00:00.000Z,Listed for sale,2024-03-28T00:00:00.000Z,Sold
"13330 Shea Cir, Foley, AL 36535",13330 Shea Cir,Foley,AL,,forRent,3,1430,,2100,43,https://www.zillow.com/homedetails/13330-Shea-Cir-Foley-AL-36535/462523648_zpid/,,,,2026-09-04T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Price change,2026-08-10T00:00:00.000Z,Listed for rent,2026-07-09T00:00:00.000Z,Listing removed,2026-06-18T00:00:00.000Z,Pending sale,2026-05-18T00:00:00.000Z,Listed for sale
"4148 Lost Bay Dr #1, Orange Beach, AL 36561",4148 Lost Bay Dr #1,Orange Beach,AL,,forRent,3,1437,,2250,75,https://www.zillow.com/homedetails/4148-Lost-Bay-Dr-1-Orange-Beach-AL-36561/463764832_zpid/,,,,2026-07-09T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4246 Lost Bay Dr #Id1541223p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541223p,Orange Beach,AL,,forRent,3,1797,,2513,64,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541223P-Orange-Beach-AL-36561/462641751_zpid/,,,,2026-09-23T00:00:00.000Z,Price change,2026-09-21T00:00:00.000Z,Price change,2026-09-19T00:00:00.000Z,Price change,2026-09-17T00:00:00.000Z,Price change,2026-09-16T00:00:00.000Z,Price change,2026-09-15T00:00:00.000Z,Price change
"4302 Lost Bay Dr #1, Orange Beach, AL 36561",4302 Lost Bay Dr #1,Orange Beach,AL,,forRent,3,,,2300,23,https://www.zillow.com/homedetails/4302-Lost-Bay-Dr-1-Orange-Beach-AL-36561/464932718_zpid/,,,,2026-08-30T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4242 Lost Bay Dr #4242, Orange Beach, AL 36561",4242 Lost Bay Dr #4242,Orange Beach,AL,,forRent,3,1437,,3250,9,https://www.zillow.com/homedetails/4242-Lost-Bay-Dr-4242-Orange-Beach-AL-36561/464334412_zpid/,,,,2026-09-14T00:00:00.000Z,Listed for rent,2026-09-05T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Listed for rent,,,,,,
"4246 Lost Bay Dr #Id1541220p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541220p,Orange Beach,AL,,forRent,6,3595,,5129,53,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541220P-Orange-Beach-AL-36561/462641711_zpid/,,,,2026-09-23T00:00:00.000Z,Price change,2026-09-21T00:00:00.000Z,Price change,2026-09-19T00:00:00.000Z,Price change,2026-09-17T00:00:00.000Z,Price change,2026-09-16T00:00:00.000Z,Price change,2026-09-14T00:00:00.000Z,Price change
"4246 Lost Bay Dr #Id1541221p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541221p,Orange Beach,AL,,forRent,3,1797,,2592,53,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541221P-Orange-Beach-AL-36561/462641758_zpid/,,,,2026-09-23T00:00:00.000Z,Price change,2026-09-21T00:00:00.000Z,Price change,2026-09-19T00:00:00.000Z,Price change,2026-09-17T00:00:00.000Z,Price change,2026-09-15T00:00:00.000Z,Price change,2026-09-13T00:00:00.000Z,Price change
"4294 Lost Bay Dr, Orange Beach, AL 36561",4294 Lost Bay Dr,Orange Beach,AL,,sold,3,1437,,370000,271,https://www.zillow.com/homedetails/4294-Lost-Bay-Dr-Orange-Beach-AL-36561/457020516_zpid/,,,370000,2026-09-22T00:00:00.000Z,Listing removed,2026-09-16T00:00:00.000Z,Price change,2026-09-01T00:00:00.000Z,Listed for rent,2025-12-26T00:00:00.000Z,Sold,2025-11-18T00:00:00.000Z,Pending sale,2025-11-10T00:00:00.000Z,Price change
