listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"16 Irving Dr, Little Rock, AR 72204",16 Irving Dr,Little Rock,AR,,forRent,3,1192,,1250,9,https://www.zillow.com/homedetails/16-Irving-Dr-Little-Rock-AR-72204/350640_zpid/,,59900,2026-09-09T00:00:00.000Z,Listed for rent,2025-06-05T00:00:00.000Z,Listing removed,2025-05-21T00:00:00.000Z,Price change,2025-04-17T00:00:00.000Z,Price change,2025-01-17T00:00:00.000Z,Listed for rent,2024-11-21T00:00:00.000Z,Sold,2024-10-27T00:00:00.000Z,Listed for sale,2021-03-24T00:00:00.000Z,Listing removed,2015-10-07T00:00:00.000Z,Sold,2014-10-26T00:00:00.000Z,Listing removed,2014-10-20T00:00:00.000Z,Price change,2014-09-01T00:00:00.000Z,Listed for rent,2014-08-18T00:00:00.000Z,Sold,2014-07-13T00:00:00.000Z,Price change,2014-06-09T00:00:00.000Z,Price change,2014-05-02T00:00:00.000Z,Price change,2014-03-29T00:00:00.000Z,Price change,2014-02-20T00:00:00.000Z,Listed for sale,2013-12-23T00:00:00.000Z,Sold,2007-04-03T00:00:00.000Z,Sold,2002-07-26T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,
"1923 Biscayne Dr, Little Rock, AR 72227",1923 Biscayne Dr,Little Rock,AR,,forRent,3,1918,,1645,56,https://www.zillow.com/homedetails/1923-Biscayne-Dr-Little-Rock-AR-72227/335694_zpid/,,380000,2026-09-10T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Price change,2026-08-20T00:00:00.000Z,Price change,2026-08-06T00:00:00.000Z,Price change,2026-07-24T00:00:00.000Z,Listed for rent,2025-04-09T00:00:00.000Z,Listing removed,2025-03-15T00:00:00.000Z,Price change,2025-01-25T00:00:00.000Z,Price change,2024-12-18T00:00:00.000Z,Price change,2024-10-24T00:00:00.000Z,Price change,2024-10-03T00:00:00.000Z,Price change,2024-09-20T00:00:00.000Z,Price change,2024-09-04T00:00:00.000Z,Price change,2024-08-16T00:00:00.000Z,Price change,2024-07-12T00:00:00.000Z,Listed for rent,2022-07-27T00:00:00.000Z,Listing removed,2022-07-05T00:00:00.000Z,Price change,2022-06-28T00:00:00.000Z,Listed for rent,2015-07-21T00:00:00.000Z,Listing removed,2015-07-15T00:00:00.000Z,Listed for rent,2015-07-06T00:00:00.000Z,Sold,2012-08-03T00:00:00.000Z,Listing removed,2012-07-31T00:00:00.000Z,Listing removed,2012-07-26T00:00:00.000Z,Listed for rent,2012-06-09T00:00:00.000Z,Price change,2012-05-10T00:00:00.000Z,Listed for sale,2006-02-14T00:00:00.000Z,Sold,2000-07-10T00:00:00.000Z,Sold,,,,
"4700 N Vine St, North Little Rock, AR 72116",4700 N Vine St,North Little Rock,AR,,forRent,4,2200,,1800,123,https://www.zillow.com/homedetails/4700-N-Vine-St-North-Little-Rock-AR-72116/294008_zpid/,,130000,2026-09-08T00:00:00.000Z,Price change,2026-09-06T00:00:00.000Z,Listing removed,2026-09-01T00:00:00.000Z,Price change,2026-08-13T00:00:00.000Z,Price change,2026-07-31T00:00:00.000Z,Price change,2026-07-24T00:00:00.000Z,Price change,2026-07-13T00:00:00.000Z,Price change,2026-07-04T00:00:00.000Z,Price change,2026-06-26T00:00:00.000Z,Price change,2026-06-18T00:00:00.000Z,Price change,2026-06-05T00:00:00.000Z,Listed for sale,2026-06-05T00:00:00.000Z,Listing removed,2026-05-23T00:00:00.000Z,Price change,2026-05-18T00:00:00.000Z,Listed for rent,2026-05-16T00:00:00.000Z,Price change,2026-05-01T00:00:00.000Z,Price change,2026-04-17T00:00:00.000Z,Price change,2026-03-27T00:00:00.000Z,Listed for sale,2026-01-06T00:00:00.000Z,Sold,2019-05-16T00:00:00.000Z,Listing removed,2019-04-23T00:00:00.000Z,Price change,2018-10-21T00:00:00.000Z,Price change,2018-07-22T00:00:00.000Z,Listed for sale,2017-08-22T00:00:00.000Z,Listing removed,2017-07-24T00:00:00.000Z,Price change,2017-05-09T00:00:00.000Z,Listed for sale,2013-09-23T00:00:00.000Z,Sold,2009-05-12T00:00:00.000Z,Sold,,,,
"625 Captain St, Jacksonville, AR 72076",625 Captain St,Jacksonville,AR,,forRent,4,1490,,1245,2,https://www.zillow.com/homedetails/625-Captain-St-Jacksonville-AR-72076/266127_zpid/,,97000,2026-09-16T00:00:00.000Z,Listed for rent,2024-07-26T00:00:00.000Z,Listing removed,2024-07-16T00:00:00.000Z,Listed for rent,2024-04-02T00:00:00.000Z,Listing removed,2024-03-12T00:00:00.000Z,Listed for rent,2024-02-20T00:00:00.000Z,Listing removed,2024-02-17T00:00:00.000Z,Listed for rent,2023-01-03T00:00:00.000Z,Listing removed,2022-12-27T00:00:00.000Z,Listed for rent,2022-06-24T00:00:00.000Z,Sold,2017-07-31T00:00:00.000Z,Sold,2017-05-10T00:00:00.000Z,Listed for sale,2014-11-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1608 Johnson St, Jacksonville, AR 72076",1608 Johnson St,Jacksonville,AR,,forRent,3,1421,,1375,1,https://www.zillow.com/homedetails/1608-Johnson-St-Jacksonville-AR-72076/263484_zpid/,,97500,2026-09-17T00:00:00.000Z,Listed for rent,2025-09-18T00:00:00.000Z,Listing removed,2025-09-10T00:00:00.000Z,Price change,2025-09-03T00:00:00.000Z,Price change,2025-08-27T00:00:00.000Z,Price change,2025-08-20T00:00:00.000Z,Price change,2025-08-06T00:00:00.000Z,Price change,2025-07-25T00:00:00.000Z,Listed for rent,2021-05-13T00:00:00.000Z,Listing removed,2021-04-30T00:00:00.000Z,Listed for rent,2021-02-04T00:00:00.000Z,Sold,2021-01-12T00:00:00.000Z,Contingent,2021-01-10T00:00:00.000Z,Listed for sale,2010-10-01T00:00:00.000Z,Sold,2001-05-04T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"501 W 24th St, North Little Rock, AR 72114",501 W 24th St,North Little Rock,AR,,forRent,3,1498,,1295,9,https://www.zillow.com/homedetails/501-W-24th-St-North-Little-Rock-AR-72114/302503_zpid/,,144900,2026-09-09T00:00:00.000Z,Listed for rent,2026-01-06T00:00:00.000Z,Sold,2025-08-14T00:00:00.000Z,Listing removed,2025-07-10T00:00:00.000Z,Price change,2025-07-04T00:00:00.000Z,Listed for rent,2025-03-28T00:00:00.000Z,Sold,2014-07-18T00:00:00.000Z,Sold,2012-03-27T00:00:00.000Z,Sold,1997-02-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2208 Brown St, Little Rock, AR 72204",2208 Brown St,Little Rock,AR,,forRent,3,962,,995,15,https://www.zillow.com/homedetails/2208-Brown-St-Little-Rock-AR-72204/314481_zpid/,,10000,2026-09-03T00:00:00.000Z,Listed for rent,2025-09-03T00:00:00.000Z,Listing removed,2025-08-20T00:00:00.000Z,Listed for rent,2024-07-02T00:00:00.000Z,Listing removed,2024-06-26T00:00:00.000Z,Listed for rent,2024-06-25T00:00:00.000Z,Listing removed,2024-06-19T00:00:00.000Z,Price change,2024-06-13T00:00:00.000Z,Listed for rent,2023-04-11T00:00:00.000Z,Listing removed,2023-03-23T00:00:00.000Z,Price change,2023-03-02T00:00:00.000Z,Listed for rent,2023-03-01T00:00:00.000Z,Listing removed,2023-02-24T00:00:00.000Z,Listed for rent,2023-02-07T00:00:00.000Z,Listing removed,2023-01-11T00:00:00.000Z,Price change,2022-12-29T00:00:00.000Z,Price change,2022-12-19T00:00:00.000Z,Listed for rent,2017-10-23T00:00:00.000Z,Listing removed,2017-10-18T00:00:00.000Z,Listed for rent,2017-02-24T00:00:00.000Z,Listing removed,2017-02-22T00:00:00.000Z,Listed for rent,2017-01-06T00:00:00.000Z,Sold,2016-11-02T00:00:00.000Z,Price change,2016-08-18T00:00:00.000Z,Price change,2016-07-21T00:00:00.000Z,Listed for sale,2012-07-07T00:00:00.000Z,Sold,,,,,,,,
"10904 Mason Dr, North Little Rock, AR 72113",10904 Mason Dr,North Little Rock,AR,,forRent,4,1459,,2600,30,https://www.zillow.com/homedetails/10904-Mason-Dr-North-Little-Rock-AR-72113/454197783_zpid/,,218000,2026-08-19T00:00:00.000Z,Listed for rent,2026-07-03T00:00:00.000Z,Listing removed,2026-05-28T00:00:00.000Z,Listed for rent,2026-04-07T00:00:00.000Z,Listing removed,2026-03-24T00:00:00.000Z,Listed for rent,2025-11-20T00:00:00.000Z,Sold,2025-10-16T00:00:00.000Z,Contingent,2025-10-16T00:00:00.000Z,Price change,2025-09-22T00:00:00.000Z,Price change,2025-08-07T00:00:00.000Z,Price change,2025-06-30T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1401 S Bailey St, Jacksonville, AR 72076",1401 S Bailey St,Jacksonville,AR,,forRent,3,1400,,1050,4,https://www.zillow.com/homedetails/1401-S-Bailey-St-Jacksonville-AR-72076/267345_zpid/,,76500,2026-09-14T00:00:00.000Z,Listed for rent,2026-09-14T00:00:00.000Z,Listing removed,2026-07-27T00:00:00.000Z,Price change,2026-07-06T00:00:00.000Z,Price change,2026-06-14T00:00:00.000Z,Listed for sale,2026-04-02T00:00:00.000Z,Listing removed,2026-03-25T00:00:00.000Z,Listed for sale,2025-05-01T00:00:00.000Z,Listing removed,2025-03-26T00:00:00.000Z,Listed for rent,2023-12-01T00:00:00.000Z,Listing removed,2023-11-01T00:00:00.000Z,Listed for rent,2023-01-06T00:00:00.000Z,Listing removed,2022-12-06T00:00:00.000Z,Price change,2022-10-12T00:00:00.000Z,Price change,2022-10-03T00:00:00.000Z,Listing removed,2022-10-03T00:00:00.000Z,Contingent,2022-09-20T00:00:00.000Z,Listed for rent,2022-09-08T00:00:00.000Z,Price change,2022-08-22T00:00:00.000Z,Price change,2022-08-09T00:00:00.000Z,Listed for sale,2022-04-11T00:00:00.000Z,Sold,2022-04-11T00:00:00.000Z,Contingent,2022-03-04T00:00:00.000Z,Listed for sale,2019-07-10T00:00:00.000Z,Listing removed,2019-06-04T00:00:00.000Z,Listed for rent,2018-07-13T00:00:00.000Z,Listing removed,2018-05-09T00:00:00.000Z,Sold,2014-07-16T00:00:00.000Z,Sold,2008-06-11T00:00:00.000Z,Sold,,
"102 Oklahoma Ave, Jacksonville, AR 72076",102 Oklahoma Ave,Jacksonville,AR,,forRent,4,1391,,1419,25,https://www.zillow.com/homedetails/102-Oklahoma-Ave-Jacksonville-AR-72076/2107029774_zpid/,,,2026-08-24T00:00:00.000Z,Listed for rent,2024-08-05T00:00:00.000Z,Listing removed,2024-07-01T00:00:00.000Z,Price change,2024-06-25T00:00:00.000Z,Listed for rent,2014-06-12T00:00:00.000Z,Listing removed,2014-05-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
