listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"3915 Ledbetter Dr, Conway, AR 72034",3915 Ledbetter Dr,Conway,AR,,forRent,3,1052,,1100,6,https://www.zillow.com/homedetails/3915-Ledbetter-Dr-Conway-AR-72034/242880_zpid/,,134000,2026-01-14T00:00:00.000Z,Listed for rent,2026-01-14T00:00:00.000Z,Listing removed,2026-01-08T00:00:00.000Z,Listed for rent,2024-12-09T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Price change,2024-08-16T00:00:00.000Z,Listed for rent,2024-02-29T00:00:00.000Z,Listing removed,2024-02-16T00:00:00.000Z,Price change,2024-01-08T00:00:00.000Z,Listed for rent,2023-02-08T00:00:00.000Z,Listing removed,2023-01-25T00:00:00.000Z,Price change,2022-11-23T00:00:00.000Z,Listed for rent,2022-11-14T00:00:00.000Z,Sold,2022-10-13T00:00:00.000Z,Contingent,2022-10-09T00:00:00.000Z,Listed for sale,2015-07-17T00:00:00.000Z,Sold,2002-05-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
"121 Shamrock Dr, Conway, AR 72034",121 Shamrock Dr,Conway,AR,,forRent,4,1950,,2000,6,https://www.zillow.com/homedetails/121-Shamrock-Dr-Conway-AR-72034/238690_zpid/,,142000,2026-01-20T00:00:00.000Z,Listed for rent,2025-08-31T00:00:00.000Z,Listing removed,2025-08-25T00:00:00.000Z,Listed for rent,2025-08-25T00:00:00.000Z,Listing removed,2025-08-04T00:00:00.000Z,Price change,2025-06-29T00:00:00.000Z,Listed for rent,2023-04-03T00:00:00.000Z,Listing removed,2023-03-09T00:00:00.000Z,Listed for rent,2020-11-02T00:00:00.000Z,Sold,2012-06-29T00:00:00.000Z,Sold,2010-09-09T00:00:00.000Z,Listed for sale,2010-06-24T00:00:00.000Z,Sold,2010-05-03T00:00:00.000Z,Listed for sale,2010-02-28T00:00:00.000Z,Listing removed,2009-11-01T00:00:00.000Z,Listed for sale,2006-05-04T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Vineyard Dr, Mayflower, AR 72106",15 Vineyard Dr,Mayflower,AR,,forRent,,,,,,"https://www.zillow.com/b/15-vineyard-dr-mayflower-ar/34.970715,-92.48699_ll/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Leruss Blvd, Cabot, AR 72023",15 Leruss Blvd,Cabot,AR,,forRent,,,,,,https://www.zillow.com/b/15-leruss-blvd-cabot-ar-CkhJp8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103 E Concord Rd, Mayflower, AR 72106",103 E Concord Rd,Mayflower,AR,,forRent,3,1413,,1660,9,https://www.zillow.com/homedetails/103-E-Concord-Rd-Mayflower-AR-72106/463058000_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-20T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"640 Cherub Dr, Conway, AR 72034",640 Cherub Dr,Conway,AR,,forRent,3,1144,,1500,4,https://www.zillow.com/homedetails/640-Cherub-Dr-Conway-AR-72034/242932_zpid/,,180000,2026-09-13T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-27T00:00:00.000Z,Contingent,2026-07-26T00:00:00.000Z,Listed for sale,2018-04-26T00:00:00.000Z,Sold,2013-10-04T00:00:00.000Z,Sold,2010-09-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1740 Raden St, Conway, AR 72032",1740 Raden St,Conway,AR,,forRent,3,1243,,1650,9,https://www.zillow.com/homedetails/1740-Raden-St-Conway-AR-72032/2061816633_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-05-19T00:00:00.000Z,Listing removed,2026-02-27T00:00:00.000Z,Price change,2022-11-09T00:00:00.000Z,Price change,2022-10-11T00:00:00.000Z,Price change,2022-08-22T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175 Southerland Rd, Conway, AR 72032",175 Southerland Rd,Conway,AR,,forRent,3,1532,,1650,16,https://www.zillow.com/homedetails/175-Southerland-Rd-Conway-AR-72032/35730518_zpid/,,165000,2026-09-02T00:00:00.000Z,Listed for rent,2025-07-03T00:00:00.000Z,Listing removed,2025-06-23T00:00:00.000Z,Listed for rent,2024-06-07T00:00:00.000Z,Listing removed,2024-05-25T00:00:00.000Z,Listed for rent,2022-05-09T00:00:00.000Z,Listing removed,2022-04-18T00:00:00.000Z,Listed for rent,2022-04-06T00:00:00.000Z,Sold,2022-02-18T00:00:00.000Z,Contingent,2022-02-03T00:00:00.000Z,Listed for sale,2020-07-20T00:00:00.000Z,Listing removed,2020-07-17T00:00:00.000Z,Listed for sale,2018-02-03T00:00:00.000Z,Listing removed,2017-12-31T00:00:00.000Z,Listed for rent,2015-07-20T00:00:00.000Z,Sold,2015-06-17T00:00:00.000Z,Pending sale,2015-05-02T00:00:00.000Z,Listed for sale,2015-01-01T00:00:00.000Z,Listing removed,2014-06-19T00:00:00.000Z,Listed for sale,2006-09-26T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,
"110 Fredonia Ct, Mayflower, AR 72106",110 Fredonia Ct,Mayflower,AR,,forRent,4,1858,,1895,4,https://www.zillow.com/homedetails/110-Fredonia-Ct-Mayflower-AR-72106/453583162_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-07-28T00:00:00.000Z,Price change,2025-07-18T00:00:00.000Z,Price change,2025-07-17T00:00:00.000Z,Price change,2025-07-11T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Price change,2025-06-20T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2400 SW Ednruance Way, Maumelle, AR 72113",2400 SW Ednruance Way,Maumelle,AR,,other,,,,,,"https://www.zillow.com/b/2400-sw-ednruance-way-maumelle-ar/34.87126275998,-92.450398671503_ll/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1610 Raden St, Conway, AR 72032",1610 Raden St,Conway,AR,,forRent,3,1243,,1650,37,https://www.zillow.com/homedetails/1610-Raden-St-Conway-AR-72032/2066419442_zpid/,,,2026-08-12T00:00:00.000Z,Listed for rent,2025-10-04T00:00:00.000Z,Listing removed,2025-10-03T00:00:00.000Z,Listed for rent,2025-10-03T00:00:00.000Z,Listing removed,2025-07-18T00:00:00.000Z,Listed for rent,2023-12-30T00:00:00.000Z,Listing removed,2023-12-29T00:00:00.000Z,Listed for rent,2023-12-28T00:00:00.000Z,Listing removed,2023-12-01T00:00:00.000Z,Price change,2023-09-08T00:00:00.000Z,Listed for rent,2023-04-19T00:00:00.000Z,Listing removed,2023-03-28T00:00:00.000Z,Listed for rent,2022-04-21T00:00:00.000Z,Listing removed,2022-02-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1720 Ryder St, Conway, AR 72032",1720 Ryder St,Conway,AR,,forRent,4,1559,,1700,18,https://www.zillow.com/homedetails/1720-Ryder-St-Conway-AR-72032/338960305_zpid/,,,2026-09-01T00:00:00.000Z,Listed for rent,2025-08-05T00:00:00.000Z,Listing removed,2025-07-31T00:00:00.000Z,Listed for rent,2023-08-07T00:00:00.000Z,Listing removed,2023-07-22T00:00:00.000Z,Listed for rent,2023-06-22T00:00:00.000Z,Listing removed,2023-06-14T00:00:00.000Z,Listed for rent,2023-01-31T00:00:00.000Z,Listing removed,2023-01-19T00:00:00.000Z,Price change,2022-12-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4555 Graham Dr, Conway, AR 72034",4555 Graham Dr,Conway,AR,,forRent,3,1192,,1400,36,https://www.zillow.com/homedetails/4555-Graham-Dr-Conway-AR-72034/59917944_zpid/,,185000,2026-08-13T00:00:00.000Z,Listed for rent,2024-10-02T00:00:00.000Z,Listing removed,2024-09-23T00:00:00.000Z,Listed for rent,2023-07-28T00:00:00.000Z,Sold,2023-06-28T00:00:00.000Z,Contingent,2023-06-28T00:00:00.000Z,Listed for sale,2021-03-24T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listed for sale,2016-09-29T00:00:00.000Z,Sold,2016-09-06T00:00:00.000Z,Pending sale,2016-07-30T00:00:00.000Z,Price change,2016-07-21T00:00:00.000Z,Listed for sale,2011-06-21T00:00:00.000Z,Sold,2005-10-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810 Rich Smith Ln, Conway, AR 72032",1810 Rich Smith Ln,Conway,AR,,forRent,3,2310,,2500,53,https://www.zillow.com/homedetails/1810-Rich-Smith-Ln-Conway-AR-72032/102992676_zpid/,,,2026-07-27T00:00:00.000Z,Price change,2026-06-22T00:00:00.000Z,Price change,2026-04-22T00:00:00.000Z,Price change,2026-01-07T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1306 Bellemeade Dr, Conway, AR 72034",1306 Bellemeade Dr,Conway,AR,,forRent,3,2220,,1775,36,https://www.zillow.com/homedetails/1306-Bellemeade-Dr-Conway-AR-72034/234155_zpid/,,89090,2026-08-13T00:00:00.000Z,Listed for rent,2025-06-20T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2017-12-01T00:00:00.000Z,Listing removed,2017-08-20T00:00:00.000Z,Price change,2017-05-31T00:00:00.000Z,Listed for sale,2013-10-16T00:00:00.000Z,Listing removed,2013-07-18T00:00:00.000Z,Listed for sale,2013-04-01T00:00:00.000Z,Sold,2012-06-28T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Harvest Ln, Conway, AR 72032",10 Harvest Ln,Conway,AR,,forRent,3,1288,,1395,31,https://www.zillow.com/homedetails/10-Harvest-Ln-Conway-AR-72032/338960356_zpid/,,,2026-09-10T00:00:00.000Z,Price change,2026-08-18T00:00:00.000Z,Listed for rent,2024-10-10T00:00:00.000Z,Listing removed,2024-09-25T00:00:00.000Z,Listed for rent,2022-09-22T00:00:00.000Z,Listing removed,2022-08-25T00:00:00.000Z,Price change,2022-08-03T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Trenton Dr, Conway, AR 72034",1120 Trenton Dr,Conway,AR,,forRent,3,1230,,1450,8,https://www.zillow.com/homedetails/1120-Trenton-Dr-Conway-AR-72034/82275033_zpid/,,92000,2026-09-10T00:00:00.000Z,Listed for rent,2026-03-11T00:00:00.000Z,Listing removed,2026-03-04T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2020-02-09T00:00:00.000Z,Listing removed,2020-01-09T00:00:00.000Z,Price change,2019-11-07T00:00:00.000Z,Price change,2019-10-20T00:00:00.000Z,Listed for rent,2005-05-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1155 Mimosa Dr, Conway, AR 72034",1155 Mimosa Dr,Conway,AR,,forRent,3,1236,,1400,14,https://www.zillow.com/homedetails/1155-Mimosa-Dr-Conway-AR-72034/35730018_zpid/,,78000,2026-09-04T00:00:00.000Z,Listed for rent,2025-06-19T00:00:00.000Z,Listing removed,2025-06-16T00:00:00.000Z,Listed for rent,2023-09-26T00:00:00.000Z,Listing removed,2023-09-11T00:00:00.000Z,Listed for rent,2019-06-13T00:00:00.000Z,Listing removed,2019-06-05T00:00:00.000Z,Listed for rent,2001-06-27T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1267 Hamilton St, Conway, AR 72032",1267 Hamilton St,Conway,AR,,forRent,3,1056,,1158,29,https://www.zillow.com/homedetails/1267-Hamilton-St-Conway-AR-72032/234905_zpid/,,52000,2026-09-16T00:00:00.000Z,Price change,2026-09-14T00:00:00.000Z,Price change,2026-08-20T00:00:00.000Z,Listed for rent,2024-09-19T00:00:00.000Z,Listing removed,2024-09-17T00:00:00.000Z,Price change,2024-09-15T00:00:00.000Z,Price change,2024-09-13T00:00:00.000Z,Listed for rent,2022-12-30T00:00:00.000Z,Listing removed,2022-12-17T00:00:00.000Z,Price change,2022-12-03T00:00:00.000Z,Price change,2022-11-22T00:00:00.000Z,Price change,2022-11-08T00:00:00.000Z,Listed for rent,2022-11-04T00:00:00.000Z,Listing removed,2022-10-28T00:00:00.000Z,Price change,2022-09-30T00:00:00.000Z,Listed for sale,2021-12-14T00:00:00.000Z,Sold,2015-03-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004 Hairston Ave, Conway, AR 72034",2004 Hairston Ave,Conway,AR,,forRent,3,1703,,2800,16,https://www.zillow.com/homedetails/2004-Hairston-Ave-Conway-AR-72034/444384959_zpid/,,,2026-09-02T00:00:00.000Z,Listed for rent,2026-02-25T00:00:00.000Z,Listing removed,2026-01-13T00:00:00.000Z,Listed for rent,2025-12-29T00:00:00.000Z,Listing removed,2025-11-07T00:00:00.000Z,Listed for rent,2025-06-27T00:00:00.000Z,Listing removed,2025-06-10T00:00:00.000Z,Listed for rent,2025-05-29T00:00:00.000Z,Listing removed,2025-03-24T00:00:00.000Z,Price change,2025-01-29T00:00:00.000Z,Price change,2025-01-15T00:00:00.000Z,Listed for rent,2024-11-29T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906 Dave Ward Dr, Conway, AR 72034",1906 Dave Ward Dr,Conway,AR,,forRent,3,1335,,1000,37,https://www.zillow.com/homedetails/1906-Dave-Ward-Dr-Conway-AR-72034/2061771487_zpid/,,,2026-08-11T00:00:00.000Z,Listed for rent,2025-12-18T00:00:00.000Z,Listing removed,2025-11-11T00:00:00.000Z,Price change,2025-10-28T00:00:00.000Z,Price change,2025-10-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Listed for rent,2024-05-29T00:00:00.000Z,Listing removed,2024-05-14T00:00:00.000Z,Price change,2024-04-23T00:00:00.000Z,Price change,2024-04-15T00:00:00.000Z,Price change,2024-03-18T00:00:00.000Z,Price change,2024-02-16T00:00:00.000Z,Price change,2024-02-13T00:00:00.000Z,Price change,2024-01-31T00:00:00.000Z,Listed for rent,2023-11-30T00:00:00.000Z,Listing removed,2023-11-15T00:00:00.000Z,Listed for rent,2022-10-25T00:00:00.000Z,Listing removed,2022-10-18T00:00:00.000Z,Price change,2022-10-02T00:00:00.000Z,Price change,2022-08-26T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,
"40 Ridge Trl, Sherwood, AR 72120",40 Ridge Trl,Sherwood,AR,,forRent,3,2200,,2100,28,https://www.zillow.com/homedetails/40-Ridge-Trl-Sherwood-AR-72120/232839_zpid/,,230600,2026-08-31T00:00:00.000Z,Price change,2026-08-21T00:00:00.000Z,Listed for rent,2026-08-12T00:00:00.000Z,Listing removed,2026-07-20T00:00:00.000Z,Listed for rent,2026-06-17T00:00:00.000Z,Listing removed,2026-06-02T00:00:00.000Z,Price change,2025-09-19T00:00:00.000Z,Price change,2025-07-22T00:00:00.000Z,Price change,2025-06-24T00:00:00.000Z,Price change,2025-04-15T00:00:00.000Z,Price change,2025-03-14T00:00:00.000Z,Price change,2025-02-27T00:00:00.000Z,Listed for rent,2014-10-03T00:00:00.000Z,Sold,2001-09-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Undisclosed Address), Conway, AR 72034",(Undisclosed Address),Conway,AR,,forRent,3,1689,,1750,17,https://www.zillow.com/homedetails/Conway-AR-72034/241235_zpid/,,131000,2026-09-01T00:00:00.000Z,Price change,2026-07-12T00:00:00.000Z,Listed for rent,2026-06-15T00:00:00.000Z,Listing removed,2026-05-25T00:00:00.000Z,Listed for rent,2026-05-16T00:00:00.000Z,Listing removed,2026-04-25T00:00:00.000Z,Listed for rent,2024-05-02T00:00:00.000Z,Listing removed,2024-04-11T00:00:00.000Z,Listed for rent,2021-08-22T00:00:00.000Z,Listing removed,2021-08-02T00:00:00.000Z,Listed for rent,2013-04-18T00:00:00.000Z,Sold,2013-02-04T00:00:00.000Z,Sold,2006-01-27T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1015 Wineberry, Conway, AR 72034",1015 Wineberry,Conway,AR,,forRent,4,1606,,1700,73,https://www.zillow.com/homedetails/1015-Wineberry-Conway-AR-72034/82271419_zpid/,,222270,2026-07-22T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2026-07-13T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Listed for rent,2022-05-27T00:00:00.000Z,Sold,2010-09-03T00:00:00.000Z,Sold,2009-08-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2530 Peabody Dr, Conway, AR 72032",2530 Peabody Dr,Conway,AR,,forRent,3,1271,,1500,33,https://www.zillow.com/homedetails/2530-Peabody-Dr-Conway-AR-72032/239829_zpid/,,199000,2026-08-15T00:00:00.000Z,Listed for rent,2025-07-28T00:00:00.000Z,Sold,2025-06-29T00:00:00.000Z,Contingent,2025-06-28T00:00:00.000Z,Listed for sale,2014-12-23T00:00:00.000Z,Sold,2013-09-19T00:00:00.000Z,Sold,2013-06-28T00:00:00.000Z,Listed for sale,2012-12-14T00:00:00.000Z,Listing removed,2012-10-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2230 Matthews Ln, Conway, AR 72032",2230 Matthews Ln,Conway,AR,,forRent,4,1661,,1800,0,https://www.zillow.com/homedetails/2230-Matthews-Ln-Conway-AR-72032/2076025311_zpid/,,,2026-09-18T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1117 Weems St, Conway, AR 72034",1117 Weems St,Conway,AR,,forRent,4,1932,,2050,35,https://www.zillow.com/homedetails/1117-Weems-St-Conway-AR-72034/450684409_zpid/,,,2026-09-03T00:00:00.000Z,Price change,2026-08-22T00:00:00.000Z,Listing removed,2026-08-14T00:00:00.000Z,Listed for rent,2026-08-02T00:00:00.000Z,Listed for sale,2026-08-01T00:00:00.000Z,Listing removed,2026-07-28T00:00:00.000Z,Price change,2026-07-16T00:00:00.000Z,Price change,2026-05-22T00:00:00.000Z,Price change,2026-04-30T00:00:00.000Z,Listed for sale,2023-08-14T00:00:00.000Z,Listing removed,2023-07-31T00:00:00.000Z,Price change,2023-07-13T00:00:00.000Z,Listed for sale,2022-08-12T00:00:00.000Z,Listing removed,2022-07-28T00:00:00.000Z,Price change,2022-06-16T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1804 Clara Dr, Conway, AR 72034",1804 Clara Dr,Conway,AR,,forRent,3,2000,,1695,13,https://www.zillow.com/homedetails/1804-Clara-Dr-Conway-AR-72034/235007_zpid/,,20000,2026-09-04T00:00:00.000Z,Listed for rent,2024-07-11T00:00:00.000Z,Listing removed,2024-06-26T00:00:00.000Z,Listed for rent,2023-06-13T00:00:00.000Z,Listing removed,2023-05-30T00:00:00.000Z,Listed for rent,2022-05-04T00:00:00.000Z,Listing removed,2022-04-06T00:00:00.000Z,Listed for rent,2019-05-17T00:00:00.000Z,Listing removed,2019-05-15T00:00:00.000Z,Listed for rent,2015-12-07T00:00:00.000Z,Listing removed,2015-09-23T00:00:00.000Z,Listed for rent,2014-06-21T00:00:00.000Z,Listing removed,2014-05-12T00:00:00.000Z,Listed for rent,2013-05-06T00:00:00.000Z,Sold,2013-04-25T00:00:00.000Z,Listing removed,2013-04-24T00:00:00.000Z,Price change,2013-03-24T00:00:00.000Z,Listed for rent,2012-03-18T00:00:00.000Z,Listing removed,2012-03-15T00:00:00.000Z,Price change,2012-03-05T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,
"5417 Temperance, Jacksonville, AR 72076",5417 Temperance,Jacksonville,AR,,forRent,,,,,,https://www.zillow.com/b/5417-temperance-jacksonville-ar-CYrkNG/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007 Arkansas Ave, Conway, AR 72034",2007 Arkansas Ave,Conway,AR,,forRent,3,1301,,1495,16,https://www.zillow.com/homedetails/2007-Arkansas-Ave-Conway-AR-72034/234341_zpid/,,90000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-26T00:00:00.000Z,Sold,2026-08-25T00:00:00.000Z,Contingent,2026-07-20T00:00:00.000Z,Price change,2026-05-19T00:00:00.000Z,Listed for sale,2026-05-19T00:00:00.000Z,Listing removed,2026-04-17T00:00:00.000Z,Price change,2026-03-09T00:00:00.000Z,Price change,2025-11-18T00:00:00.000Z,Listed for sale,2015-02-18T00:00:00.000Z,Sold,2012-05-07T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"294 Stone Mountain Rd, Conway, AR 72032",294 Stone Mountain Rd,Conway,AR,,forRent,3,1216,,1650,5,https://www.zillow.com/homedetails/294-Stone-Mountain-Rd-Conway-AR-72032/122006123_zpid/,,42300,2026-09-13T00:00:00.000Z,Listed for rent,2025-04-17T00:00:00.000Z,Sold,2025-03-26T00:00:00.000Z,Contingent,2025-03-22T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"804 Drake Dr, Conway, AR 72034",804 Drake Dr,Conway,AR,,forRent,3,1663,,1650,7,https://www.zillow.com/homedetails/804-Drake-Dr-Conway-AR-72034/243037_zpid/,,164500,2026-09-11T00:00:00.000Z,Listed for rent,2024-04-20T00:00:00.000Z,Listing removed,2024-04-09T00:00:00.000Z,Listed for rent,2023-09-11T00:00:00.000Z,Listing removed,2023-09-10T00:00:00.000Z,Listed for rent,2023-09-10T00:00:00.000Z,Listing removed,2023-08-29T00:00:00.000Z,Price change,2023-08-22T00:00:00.000Z,Price change,2023-08-16T00:00:00.000Z,Price change,2023-08-09T00:00:00.000Z,Price change,2023-08-02T00:00:00.000Z,Price change,2023-07-25T00:00:00.000Z,Price change,2023-07-19T00:00:00.000Z,Price change,2023-06-03T00:00:00.000Z,Listed for rent,2017-03-06T00:00:00.000Z,Sold,2016-10-17T00:00:00.000Z,Listed for sale,2015-06-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
"5210 Stockton Rd, Conway, AR 72034",5210 Stockton Rd,Conway,AR,,forRent,3,1245,,1400,14,https://www.zillow.com/homedetails/5210-Stockton-Rd-Conway-AR-72034/63265504_zpid/,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 Summer Breeze Rd, Conway, AR 72032",9 Summer Breeze Rd,Conway,AR,,forRent,4,1537,,1750,8,https://www.zillow.com/homedetails/9-Summer-Breeze-Rd-Conway-AR-72032/2078228526_zpid/,,195000,2026-09-10T00:00:00.000Z,Listed for rent,2025-08-12T00:00:00.000Z,Listing removed,2025-06-24T00:00:00.000Z,Listed for rent,2025-05-30T00:00:00.000Z,Sold,2025-04-24T00:00:00.000Z,Contingent,2025-03-29T00:00:00.000Z,Listed for sale,2020-12-04T00:00:00.000Z,Sold,2020-09-03T00:00:00.000Z,Price change,2020-08-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2103 Arkansas Ave, Conway, AR 72034",2103 Arkansas Ave,Conway,AR,,forRent,4,1300,,1425,13,https://www.zillow.com/homedetails/2103-Arkansas-Ave-Conway-AR-72034/235083_zpid/,,87000,2026-09-04T00:00:00.000Z,Listed for rent,2025-10-17T00:00:00.000Z,Listing removed,2025-09-19T00:00:00.000Z,Listed for rent,2015-02-13T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1505 Hathaway Dr, Conway, AR 72034",1505 Hathaway Dr,Conway,AR,,forRent,3,1207,,1475,15,https://www.zillow.com/homedetails/1505-Hathaway-Dr-Conway-AR-72034/241555_zpid/,,70000,2026-09-03T00:00:00.000Z,Listed for rent,2024-01-31T00:00:00.000Z,Listing removed,2024-01-30T00:00:00.000Z,Listed for rent,2024-01-29T00:00:00.000Z,Listing removed,2024-01-27T00:00:00.000Z,Listed for rent,2016-01-09T00:00:00.000Z,Listing removed,2015-12-15T00:00:00.000Z,Listed for rent,2015-09-24T00:00:00.000Z,Sold,2015-08-15T00:00:00.000Z,Listed for sale,2013-10-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
