"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"29","SLD","$255,000","$255,000","RIDGEFIELD SUBDIVISION PHASE III","1503 Ridgefield Circle","1884","4","2","0.35","8/20/2025 2:10 PM","11/10/2025","$135.35","12/12/2025"
"10","EXP","$255,000","$255,000","VINEYARD SUB PH II","104 E Sunbelt Court","1858","4","2","0.15","10/28/2025 9:54 AM","11/10/2025","$137.24",
"3","SLD","$255,000","$255,000","STONE CANYON ADDITION SUBDIVISON","210 Bighorn Trail","1694","4","2","0.12","11/19/2025 10:09 AM","11/19/2025","$150.53","4/22/2026"
"19","SLD","$255,000","$255,000","CYPRESS TRAIL SUBDIVISION","6913 Cypress Trail","1638","3","2","0.14","6/27/2025 2:40 PM","6/27/2025","$155.68","6/27/2025"
"28","SLD","$258,000","$255,000","STONE CANYON ADDITION SUBDIVISON","155 Bighorn Trail","1694","4","2","0.15","5/12/2026 10:07 AM","6/29/2026","$150.53","6/26/2026"
"2","SLD","$255,500","$255,500","STONE CANYON ADDITION SUBDIVISON","245 Stone Canyon Drive","1694","4","2","0.12","2/15/2026 6:51 PM","4/16/2026","$150.83","5/18/2026"
"24","SLD","$256,000","$256,000","Hope Valley Estates","253 Alyece Lane","1858","4","2","0.20","12/28/2024 10:34 PM","12/28/2024","$137.78","4/17/2025"
"26","SLD","$261,500","$256,500","WOLFSBRIDGE @ CABOT PH 1-A","44 Wolfsbridge Loop","1858","4","2","0.15","4/16/2026 1:13 PM","7/30/2026","$138.05","7/29/2026"
"24","SLD","$255,000","$256,850","THE VILLAS AT HOPE VALLEY PHASE 1","276 Alyece Lane","1858","4","2","0.24","2/3/2025 4:31 PM","5/20/2025","$138.24","5/15/2025"
"10","SLD","$257,000","$257,000","RIDGEFIELD SUBDIVISION PHASE III","1409 Ridgefield Circle","1884","4","2","0.26","7/18/2025 2:08 PM","7/18/2025","$136.41","10/27/2025"
"23","UCT","$257,000","$257,000","STONE CANYON ADDITION SUBDIVISON","215 Stone Canyon Drive","1867","5","2","0.12","2/15/2026 7:00 PM","7/8/2026","$137.65","9/11/2026"
"2","ACT","$257,500","$257,500","CHERRY ADDITION TO CITY OF BEEBE","500 S Cherry Street","1892","4","3","0.20","6/23/2026 1:59 PM","6/23/2026","$136.10",
"23","SLD","$256,000","$257,500","VINEYARD SUB PH I","1 E Reliance Court","1753","4","2","0.23","12/29/2024 3:07 PM","3/13/2025","$146.89","3/12/2025"
"2","ACT","$257,500","$257,500","CHERRY ADDITION TO CITY OF BEEBE","422 S Cherry Street","1892","4","3","0.20","7/22/2026 3:35 PM","7/22/2026","$136.10",
"9","SBL","$258,500","$258,500","RIDGEFIELD SUBDIVISION PHASE III","1601 Ridgefield Drive","1884","4","2","0.31","2/6/2026 2:23 PM","2/6/2026","$137.21","2/6/2026"
"17","ACT","$258,500","$258,500","WOLFSBRIDGE @ CABOT PH 1-A","39 Wolfsbridge Loop","1724","3","2","0.21","5/6/2026 9:51 AM","5/6/2026","$149.94",
"16","SLD","$258,500","$258,500","VINEYARD SUB PH II","113 E Sunbelt Court","1897","4","2","0.15","8/20/2025 11:48 AM","1/30/2026","$136.27","4/24/2026"
"2","SLD","$254,000","$258,500","RIDGEFIELD SUBDIVISION PHASE III","1406 Springvine Drive","1858","4","2","0.19","5/13/2025 1:19 PM","9/27/2025","$139.13","9/23/2025"
"23","SLD","$265,000","$258,507","STONE CANYON ADDITION SUBDIVISON","240 Bighorn Trail","1867","5","2","0.12","10/30/2025 10:26 AM","3/2/2026","$138.46","2/27/2026"
