listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"101 Cedar Creek Loop, Cabot, AR 72023",101 Cedar Creek Loop,forRent,,3,1422,,1295,46,https://www.zillow.com/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,,
"120 Suda St, Cabot, AR 72023",120 Suda St,forRent,,3,1008,,995,142,https://www.zillow.com/homedetails/120-Suda-St-Cabot-AR-72023/213595966_zpid/,,120000
"400 Apricot St, Austin, AR 72007",400 Apricot St,forRent,,3,1200,,1475,14,https://www.zillow.com/homedetails/400-Apricot-St-Austin-AR-72007/82250818_zpid/,,280000
"32 Fortson Dr, Cabot, AR 72023",32 Fortson Dr,forRent,,3,1064,,875,16,https://www.zillow.com/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,,750000
"17 Farrah St, Ward, AR 72176",17 Farrah St,forRent,,3,1563,,1250,90,https://www.zillow.com/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,,
"73 Timberwood Dr, Cabot, AR 72023",73 Timberwood Dr,forRent,,3,1230,,1450,20,https://www.zillow.com/homedetails/73-Timberwood-Dr-Cabot-AR-72023/52495438_zpid/,,161000
"26 Mustang Dr, Cabot, AR 72023",26 Mustang Dr,forRent,,3,1537,,1550,59,https://www.zillow.com/homedetails/26-Mustang-Dr-Cabot-AR-72023/63160976_zpid/,,310000
"11 W Plaza Blvd, Cabot, AR 72023",11 W Plaza Blvd,forRent,,3,1487,,1525,14,https://www.zillow.com/homedetails/11-W-Plaza-Blvd-Cabot-AR-72023/256262_zpid/,,229049
"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,forRent,,3,1394,,1400,52,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,,117000
"203 Lynn Ln, Lonoke, AR 72086",203 Lynn Ln,forRent,,3,1200,,1195,84,https://www.zillow.com/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,,105000
"87 Sycamore Cir, Cabot, AR 72023",87 Sycamore Cir,forRent,,3,1252,,1395,24,https://www.zillow.com/homedetails/87-Sycamore-Cir-Cabot-AR-72023/256430_zpid/,,151500
