listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"3967 Newhall Dr NW, Hickory, NC 28601",3967 Newhall Dr NW,,3,1158,,1400,9,https://www.zillow.com/homedetails/3967-Newhall-Dr-NW-Hickory-NC-28601/343810572_zpid/,,,2026-08-25T00:00:00.000Z,Listed for rent,2025-08-12T00:00:00.000Z,Listing removed,2025-07-23T00:00:00.000Z,Listed for rent,2025-04-17T00:00:00.000Z,Listing removed,2025-03-28T00:00:00.000Z,Listed for rent,2024-03-28T00:00:00.000Z,Listing removed,2024-03-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1330 37th Avenue Ln NE, Hickory, NC 28601",1330 37th Avenue Ln NE,,5,2368,,2700,30,https://www.zillow.com/homedetails/1330-37th-Avenue-Ln-NE-Hickory-NC-28601/452771842_zpid/,,330000,2026-08-04T00:00:00.000Z,Listed for rent,2025-09-16T00:00:00.000Z,Sold,2025-06-09T00:00:00.000Z,Pending sale,2025-06-04T00:00:00.000Z,Price change,2025-05-31T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"422 Janie Cir, Hickory, NC 28601",422 Janie Cir,,4,2800,,2500,3,https://www.zillow.com/homedetails/422-Janie-Cir-Hickory-NC-28601/460859494_zpid/,,,2026-09-01T00:00:00.000Z,Listed for rent,2026-07-21T00:00:00.000Z,Listing removed,2026-03-05T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"502 12th Ave NE, Hickory, NC 28601",502 12th Ave NE,,3,1334,,1595,8,https://www.zillow.com/homedetails/502-12th-Ave-NE-Hickory-NC-28601/463061458_zpid/,,,2026-08-26T00:00:00.000Z,Listed for rent,2026-07-31T00:00:00.000Z,Listing removed,2026-06-09T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2110 24th St NE, Hickory, NC 28601",2110 24th St NE,,3,1248,,1700,84,https://www.zillow.com/homedetails/2110-24th-St-NE-Hickory-NC-28601/71911952_zpid/,,100000,2026-05-13T00:00:00.000Z,Price change,2026-02-27T00:00:00.000Z,Listed for rent,1994-09-01T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106 Jo Park Ln, Maumelle, AR 72113",106 Jo Park Ln,,4,1640,,2000,28,https://www.zillow.com/homedetails/106-Jo-Park-Ln-Maumelle-AR-72113/2056841941_zpid/,,,2026-08-06T00:00:00.000Z,Listed for rent,2023-10-04T00:00:00.000Z,Listing removed,2023-10-03T00:00:00.000Z,Listed for rent,2023-10-03T00:00:00.000Z,Listing removed,2023-06-29T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1266 18th St NE, Hickory, NC 28601",1266 18th St NE,,3,1288,,1725,35,https://www.zillow.com/homedetails/1266-18th-St-NE-Hickory-NC-28601/71903862_zpid/,,225000,2026-08-24T00:00:00.000Z,Price change,2026-07-30T00:00:00.000Z,Listed for rent,2025-10-07T00:00:00.000Z,Listing removed,2025-08-27T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Sold,2025-07-23T00:00:00.000Z,Price change,2025-07-09T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Price change,2025-06-06T00:00:00.000Z,Price change,2025-06-02T00:00:00.000Z,Listed for sale,2023-04-19T00:00:00.000Z,Sold,2023-03-20T00:00:00.000Z,Pending sale,2023-03-18T00:00:00.000Z,Price change,2023-03-08T00:00:00.000Z,Price change,2023-02-21T00:00:00.000Z,Price change,2023-02-10T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,
"104 10th Ave SE, Hickory, NC 28602",104 10th Ave SE,,3,1333,,1595,86,https://www.zillow.com/homedetails/104-10th-Ave-SE-Hickory-NC-28602/71959215_zpid/,,420000,2026-06-09T00:00:00.000Z,Listed for rent,2025-12-17T00:00:00.000Z,Sold,2025-10-09T00:00:00.000Z,Listed for sale,2024-12-30T00:00:00.000Z,Sold,2024-11-05T00:00:00.000Z,Listed for sale,2015-02-28T00:00:00.000Z,Listing removed,2015-02-20T00:00:00.000Z,Price change,2015-02-04T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10413 Cypress Knee Dr, Maumelle, AR 72113",10413 Cypress Knee Dr,,3,1480,,1800,64,https://www.zillow.com/homedetails/10413-Cypress-Knee-Dr-Maumelle-AR-72113/2060938533_zpid/,,,2026-07-01T00:00:00.000Z,Listed for rent,2025-04-22T00:00:00.000Z,Listing removed,2025-04-04T00:00:00.000Z,Listed for rent,2022-11-13T00:00:00.000Z,Listing removed,2022-10-25T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"450 Brinkley Dr, Kings Mountain, NC 28086",450 Brinkley Dr,,5,2511,,2445,1,https://www.zillow.com/homedetails/450-Brinkley-Dr-Kings-Mountain-NC-28086/463353765_zpid/,,325000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-19T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"538 Belcaro Dr, Kings Mountain, NC 28086",538 Belcaro Dr,,3,1800,,2005,34,https://www.zillow.com/homedetails/538-Belcaro-Dr-Kings-Mountain-NC-28086/339891879_zpid/,,,2026-09-02T00:00:00.000Z,Price change,2026-08-26T00:00:00.000Z,Price change,2026-08-18T00:00:00.000Z,Price change,2026-08-12T00:00:00.000Z,Price change,2026-07-31T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-08-12T00:00:00.000Z,Price change,2025-08-06T00:00:00.000Z,Price change,2025-07-30T00:00:00.000Z,Price change,2025-07-22T00:00:00.000Z,Price change,2025-07-15T00:00:00.000Z,Price change,2025-07-08T00:00:00.000Z,Price change,2025-07-01T00:00:00.000Z,Price change,2025-06-25T00:00:00.000Z,Listed for rent,2025-06-23T00:00:00.000Z,Listing removed,2025-06-17T00:00:00.000Z,Listed for rent,2025-04-17T00:00:00.000Z,Listing removed,2025-04-15T00:00:00.000Z,Price change,2025-03-31T00:00:00.000Z,Listed for rent,2022-08-11T00:00:00.000Z,Listing removed,2022-07-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,
"117 Logan Dr, Maumelle, AR 72113",117 Logan Dr,,3,1472,,1835,58,https://www.zillow.com/homedetails/117-Logan-Dr-Maumelle-AR-72113/2057186355_zpid/,,,2026-07-07T00:00:00.000Z,Listed for rent,2023-07-30T00:00:00.000Z,Listing removed,2023-07-29T00:00:00.000Z,Listed for rent,2023-07-29T00:00:00.000Z,Listing removed,2023-06-10T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"404 Marcella Dr, Kings Mountain, NC 28086",404 Marcella Dr,,3,1507,,1949,24,https://www.zillow.com/homedetails/404-Marcella-Dr-Kings-Mountain-NC-28086/214091791_zpid/,,255000,2026-09-02T00:00:00.000Z,Price change,2026-08-25T00:00:00.000Z,Price change,2026-08-18T00:00:00.000Z,Price change,2026-08-11T00:00:00.000Z,Listed for rent,2021-08-17T00:00:00.000Z,Listing removed,2021-08-06T00:00:00.000Z,Price change,2021-07-22T00:00:00.000Z,Listed for rent,2021-06-24T00:00:00.000Z,Sold,2021-06-03T00:00:00.000Z,Pending sale,2021-05-26T00:00:00.000Z,Listed for sale,2016-05-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"231 Brinkley Dr, Kings Mountain, NC 28086",231 Brinkley Dr,,5,2400,,2595,49,https://www.zillow.com/homedetails/231-Brinkley-Dr-Kings-Mountain-NC-28086/349365612_zpid/,,332000,2026-08-07T00:00:00.000Z,Price change,2026-07-16T00:00:00.000Z,Listed for rent,2026-07-10T00:00:00.000Z,Sold,2026-05-14T00:00:00.000Z,Listed for sale,2026-05-10T00:00:00.000Z,Listing removed,2026-03-03T00:00:00.000Z,Price change,2026-02-05T00:00:00.000Z,Price change,2025-11-06T00:00:00.000Z,Listed for sale,2024-10-25T00:00:00.000Z,Sold,2024-08-21T00:00:00.000Z,Price change,2024-08-14T00:00:00.000Z,Price change,2024-07-09T00:00:00.000Z,Price change,2024-05-07T00:00:00.000Z,Price change,2024-05-04T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"449 Brinkley Dr, Kings Mountain, NC 28086",449 Brinkley Dr,,4,2175,,2195,1,https://www.zillow.com/homedetails/449-Brinkley-Dr-Kings-Mountain-NC-28086/462249560_zpid/,,295000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-05T00:00:00.000Z,Price change,2026-05-07T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109 Ann St, Kings Mountain, NC 28086",109 Ann St,,3,1508,,1950,10,https://www.zillow.com/homedetails/109-Ann-St-Kings-Mountain-NC-28086/214091787_zpid/,,126000,2026-08-24T00:00:00.000Z,Listed for rent,2016-05-27T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2034 Shelby Rd, Kings Mountain, NC 28086",2034 Shelby Rd,,3,910,,1250,104,https://www.zillow.com/homedetails/2034-Shelby-Rd-Kings-Mountain-NC-28086/93001483_zpid/,,,2026-05-23T00:00:00.000Z,Listed for rent,2025-11-06T00:00:00.000Z,Listing removed,2025-10-06T00:00:00.000Z,Listed for rent,2025-06-28T00:00:00.000Z,Listing removed,2025-06-25T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2098 10th St SE, Hickory, NC 28601",2098 10th St SE,,4,2174,,2395,1,https://www.zillow.com/homedetails/2098-10th-St-SE-Hickory-NC-28601/461180979_zpid/,,309000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-03-20T00:00:00.000Z,Pending sale,2026-03-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1415 Mammoth Rd, Hickory, NC 28602",1415 Mammoth Rd,,4,1927,,2145,1,https://www.zillow.com/homedetails/1415-Mammoth-Rd-Hickory-NC-28602/461722523_zpid/,,272500,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-02T00:00:00.000Z,Price change,2026-04-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1419 Mammoth Rd, Hickory, NC 28602",1419 Mammoth Rd,,5,2368,,2275,1,https://www.zillow.com/homedetails/1419-Mammoth-Rd-Hickory-NC-28602/461722721_zpid/,,292400,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-04-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Harvest Ridge Dr, Hickory, NC 28601",15 Harvest Ridge Dr,,4,2000,,2300,4,https://www.zillow.com/homedetails/15-Harvest-Ridge-Dr-Hickory-NC-28601/2063037302_zpid/,,220990,2026-08-30T00:00:00.000Z,Listed for rent,2025-06-28T00:00:00.000Z,Listing removed,2025-06-09T00:00:00.000Z,Listed for rent,2023-09-11T00:00:00.000Z,Listing removed,2023-09-04T00:00:00.000Z,Listed for rent,2022-08-02T00:00:00.000Z,Listing removed,2022-06-24T00:00:00.000Z,Listing removed,2022-06-01T00:00:00.000Z,Listed for rent,2022-01-12T00:00:00.000Z,Sold,2021-04-09T00:00:00.000Z,Pending sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1411 Mammoth Rd, Hickory, NC 28602",1411 Mammoth Rd,,5,2368,,2255,1,https://www.zillow.com/homedetails/1411-Mammoth-Rd-Hickory-NC-28602/463736170_zpid/,,292400,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-07-08T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2625 Rolling Ridge Dr, Hickory, NC 28602",2625 Rolling Ridge Dr,,4,3747,,3000,16,https://www.zillow.com/homedetails/2625-Rolling-Ridge-Dr-Hickory-NC-28602/71554898_zpid/,,447000,2026-08-18T00:00:00.000Z,Listed for rent,2022-02-22T00:00:00.000Z,Sold,2022-01-02T00:00:00.000Z,Pending sale,2021-12-09T00:00:00.000Z,Listed for sale,2018-12-18T00:00:00.000Z,Listing removed,2018-10-16T00:00:00.000Z,Price change,2018-10-05T00:00:00.000Z,Price change,2018-09-23T00:00:00.000Z,Price change,2018-09-07T00:00:00.000Z,Listed for sale,2012-05-14T00:00:00.000Z,Sold,2012-04-14T00:00:00.000Z,Price change,2012-03-14T00:00:00.000Z,Listed for sale,2011-12-14T00:00:00.000Z,Sold,2011-05-10T00:00:00.000Z,Price change,2011-02-16T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,
"2130 10th St SE, Hickory, NC 28602",2130 10th St SE,,4,2174,,2250,27,https://www.zillow.com/homedetails/2130-10th-St-SE-Hickory-NC-28602/463122074_zpid/,,,2026-08-07T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Listing removed,2026-07-17T00:00:00.000Z,Price change,2026-06-11T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1423 Mammoth Rd, Hickory, NC 28602",1423 Mammoth Rd,,4,1927,,2195,52,https://www.zillow.com/homedetails/1423-Mammoth-Rd-Hickory-NC-28602/461722831_zpid/,,,2026-07-14T00:00:00.000Z,Listed for rent,2026-05-26T00:00:00.000Z,Listing removed,2026-05-19T00:00:00.000Z,Price change,2026-04-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936 Eigth St, Hickory, NC 28602",1936 Eigth St,,3,1695,,1750,71,https://www.zillow.com/homedetails/1936-Eigth-St-Hickory-NC-28602/2052991619_zpid/,,,2026-08-31T00:00:00.000Z,Price change,2026-08-14T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Price change,2026-06-24T00:00:00.000Z,Listed for rent,2024-03-28T00:00:00.000Z,Listing removed,2024-03-18T00:00:00.000Z,Price change,2024-03-05T00:00:00.000Z,Price change,2024-02-22T00:00:00.000Z,Price change,2024-02-21T00:00:00.000Z,Price change,2024-02-01T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"765 8th Avenue Dr SE, Hickory, NC 28602",765 8th Avenue Dr SE,,3,1463,,1750,73,https://www.zillow.com/homedetails/765-8th-Avenue-Dr-SE-Hickory-NC-28602/71963561_zpid/,,110000,2026-08-20T00:00:00.000Z,Price change,2026-06-22T00:00:00.000Z,Listed for rent,2023-05-15T00:00:00.000Z,Listing removed,2023-04-28T00:00:00.000Z,Price change,2023-04-07T00:00:00.000Z,Listed for rent,2023-01-25T00:00:00.000Z,Sold,2013-09-03T00:00:00.000Z,Sold,2006-10-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1417 17th Ave NE, Hickory, NC 28601",1417 17th Ave NE,,3,1400,,1725,27,https://www.zillow.com/homedetails/1417-17th-Ave-NE-Hickory-NC-28601/71551010_zpid/,,99000,2026-08-21T00:00:00.000Z,Price change,2026-08-07T00:00:00.000Z,Listed for rent,2006-11-13T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3315 23rd St NE, Hickory, NC 28601",3315 23rd St NE,,3,1369,,1995,0,https://www.zillow.com/homedetails/3315-23rd-St-NE-Hickory-NC-28601/71909821_zpid/,,145000,2026-09-03T00:00:00.000Z,Listed for rent,2026-07-02T00:00:00.000Z,Sold,2026-06-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Applewood Cv, Cabot, AR 72023",15 Applewood Cv,,3,1588,,1600,48,https://www.zillow.com/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,,226000,2026-07-17T00:00:00.000Z,Listed for rent,2024-05-04T00:00:00.000Z,Listing removed,2024-04-27T00:00:00.000Z,Listed for rent,2024-04-19T00:00:00.000Z,Sold,2024-03-14T00:00:00.000Z,Listed for sale,2022-10-31T00:00:00.000Z,Sold,2022-08-02T00:00:00.000Z,Listed for sale,2019-10-28T00:00:00.000Z,Sold,2019-09-18T00:00:00.000Z,Listed for sale,2014-01-02T00:00:00.000Z,Sold,2013-11-23T00:00:00.000Z,Price change,2013-10-17T00:00:00.000Z,Price change,2013-09-20T00:00:00.000Z,Listed for sale,2012-03-08T00:00:00.000Z,Listing removed,2011-09-23T00:00:00.000Z,Listed for sale,2011-05-07T00:00:00.000Z,Listing removed,2011-01-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,
"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,,3,1394,,1400,48,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,,117000,2026-07-17T00:00:00.000Z,Listed for rent,2025-09-24T00:00:00.000Z,Listing removed,2025-09-04T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Listing removed,2024-07-20T00:00:00.000Z,Price change,2024-06-25T00:00:00.000Z,Listed for rent,2023-06-25T00:00:00.000Z,Listing removed,2023-06-02T00:00:00.000Z,Listed for rent,2021-12-27T00:00:00.000Z,Listing removed,2021-12-19T00:00:00.000Z,Listed for rent,2013-05-01T00:00:00.000Z,Listing removed,2013-04-21T00:00:00.000Z,Listed for rent,2013-04-19T00:00:00.000Z,Sold,2012-12-01T00:00:00.000Z,Price change,2012-10-15T00:00:00.000Z,Listed for sale,2011-04-01T00:00:00.000Z,Sold,2011-01-17T00:00:00.000Z,Price change,2011-01-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,
"72 Branchwood Ln, Austin, AR 72007",72 Branchwood Ln,,3,1216,,1200,7,https://www.zillow.com/homedetails/72-Branchwood-Ln-Austin-AR-72007/252707_zpid/,,1710000,2026-08-27T00:00:00.000Z,Price change,2022-12-04T00:00:00.000Z,Listed for rent,2021-02-23T00:00:00.000Z,Listing removed,2020-08-27T00:00:00.000Z,Listing removed,2020-08-03T00:00:00.000Z,Listed for rent,2019-06-08T00:00:00.000Z,Listing removed,2019-06-05T00:00:00.000Z,Listed for rent,2018-11-12T00:00:00.000Z,Listing removed,2018-11-09T00:00:00.000Z,Listed for rent,2015-01-30T00:00:00.000Z,Sold,2009-07-17T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5944 Bakers Point, Hickory, NC 28602",5944 Bakers Point,,5,3953,,3600,16,https://www.zillow.com/homedetails/5944-Bakers-Point-Hickory-NC-28602/98192272_zpid/,,90000,2026-08-18T00:00:00.000Z,Listed for rent,2026-08-13T00:00:00.000Z,Listing removed,2026-07-27T00:00:00.000Z,Price change,2026-06-23T00:00:00.000Z,Price change,2026-04-30T00:00:00.000Z,Listed for sale,2026-03-01T00:00:00.000Z,Listing removed,2025-11-14T00:00:00.000Z,Listed for sale,2024-12-12T00:00:00.000Z,Sold,2024-11-12T00:00:00.000Z,Listed for sale,2022-10-23T00:00:00.000Z,Listing removed,2022-07-25T00:00:00.000Z,Listed for sale,2011-06-20T00:00:00.000Z,Sold,2011-04-15T00:00:00.000Z,Listed for sale,2011-02-18T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120 Suda St, Cabot, AR 72023",120 Suda St,,3,1008,,995,139,https://www.zillow.com/homedetails/120-Suda-St-Cabot-AR-72023/213595966_zpid/,,120000,2026-09-04T00:00:00.000Z,Price change,2026-06-17T00:00:00.000Z,Price change,2026-05-05T00:00:00.000Z,Price change,2026-04-18T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Sold,2024-07-23T00:00:00.000Z,Listing removed,2024-07-04T00:00:00.000Z,Listed for rent,2024-06-25T00:00:00.000Z,Listed for sale,2024-05-20T00:00:00.000Z,Contingent,2024-05-03T00:00:00.000Z,Listed for sale,2023-10-26T00:00:00.000Z,Listing removed,2023-10-21T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2018-04-27T00:00:00.000Z,Listing removed,2018-04-17T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Saunder Dr N, Austin, AR 72007",14 Saunder Dr N,,3,1392,,1550,36,https://www.zillow.com/homedetails/14-Saunder-Dr-N-Austin-AR-72007/347067074_zpid/,,198000,2026-07-29T00:00:00.000Z,Listed for rent,2023-03-16T00:00:00.000Z,Sold,2023-02-13T00:00:00.000Z,Contingent,2023-01-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400 Apricot St, Austin, AR 72007",400 Apricot St,,3,1200,,1475,10,https://www.zillow.com/homedetails/400-Apricot-St-Austin-AR-72007/82250818_zpid/,,280000,2026-07-22T00:00:00.000Z,Price change,2026-06-24T00:00:00.000Z,Price change,2026-05-16T00:00:00.000Z,Price change,2026-05-08T00:00:00.000Z,Listed for rent,2025-09-09T00:00:00.000Z,Listing removed,2025-08-26T00:00:00.000Z,Listed for rent,2025-08-21T00:00:00.000Z,Sold,2024-07-10T00:00:00.000Z,Listing removed,2024-06-24T00:00:00.000Z,Listed for rent,2024-06-10T00:00:00.000Z,Listing removed,2024-06-02T00:00:00.000Z,Listed for rent,2024-02-08T00:00:00.000Z,Sold,2023-06-11T00:00:00.000Z,Listing removed,2023-06-02T00:00:00.000Z,Price change,2022-11-16T00:00:00.000Z,Listed for rent,2022-10-07T00:00:00.000Z,Sold,2022-08-15T00:00:00.000Z,Listed for sale,2015-03-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,
"101 Cedar Creek Loop, Cabot, AR 72023",101 Cedar Creek Loop,,3,1422,,1295,42,https://www.zillow.com/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,,,2026-08-27T00:00:00.000Z,Price change,2026-08-06T00:00:00.000Z,Price change,2026-07-30T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32 Fortson Dr, Cabot, AR 72023",32 Fortson Dr,,3,1064,,875,12,https://www.zillow.com/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,,750000,2026-08-22T00:00:00.000Z,Listed for rent,2024-02-17T00:00:00.000Z,Listing removed,2024-02-03T00:00:00.000Z,Listed for rent,2004-08-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17 Farrah St, Ward, AR 72176",17 Farrah St,,3,1563,,1250,86,https://www.zillow.com/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,,,2026-06-09T00:00:00.000Z,Listed for rent,2025-05-24T00:00:00.000Z,Listing removed,2025-05-06T00:00:00.000Z,Price change,2025-04-20T00:00:00.000Z,Listed for rent,2017-02-23T00:00:00.000Z,Listing removed,2017-02-17T00:00:00.000Z,Listed for rent,2014-02-28T00:00:00.000Z,Listing removed,2014-02-05T00:00:00.000Z,Price change,2014-01-29T00:00:00.000Z,Price change,2013-12-14T00:00:00.000Z,Price change,2013-11-30T00:00:00.000Z,Listed for sale,2013-10-25T00:00:00.000Z,Listing removed,2013-09-19T00:00:00.000Z,Price change,2013-09-18T00:00:00.000Z,Price change,2013-06-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,
"28 Burns Dr, Cabot, AR 72023",28 Burns Dr,,3,1288,,1350,44,https://www.zillow.com/homedetails/28-Burns-Dr-Cabot-AR-72023/255699_zpid/,,146000,2026-08-31T00:00:00.000Z,Price change,2026-07-21T00:00:00.000Z,Listed for rent,2025-08-07T00:00:00.000Z,Listing removed,2025-07-14T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Listed for rent,2022-06-28T00:00:00.000Z,Sold,2014-11-26T00:00:00.000Z,Sold,2012-06-24T00:00:00.000Z,Listing removed,2012-06-08T00:00:00.000Z,Listed for rent,2011-04-29T00:00:00.000Z,Listing removed,2011-01-27T00:00:00.000Z,Listed for sale,2010-06-04T00:00:00.000Z,Sold,2010-04-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
