listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"127 Rolling Oaks Dr, Maumelle, AR 72113",127 Rolling Oaks Dr,,3,1240,,1475,3,https://www.zillow.com/homedetails/127-Rolling-Oaks-Dr-Maumelle-AR-72113/326438_zpid/,,79500,2026-08-31T00:00:00.000Z,Listed for rent,2024-06-10T00:00:00.000Z,Listing removed,2024-06-07T00:00:00.000Z,Listed for rent,2024-06-06T00:00:00.000Z,Listing removed,2024-06-05T00:00:00.000Z,Listed for rent,2019-10-17T00:00:00.000Z,Listing removed,2019-10-01T00:00:00.000Z,Listed for rent,2015-09-28T00:00:00.000Z,Listing removed,2015-07-30T00:00:00.000Z,Listed for rent,2014-05-01T00:00:00.000Z,Sold,2009-07-14T00:00:00.000Z,Sold,2009-03-20T00:00:00.000Z,Sold,2000-08-25T00:00:00.000Z,Sold,1999-01-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 Rockwood Rd, Cabot, AR 72023",11 Rockwood Rd,,3,1461,,1550,29,https://www.zillow.com/homedetails/11-Rockwood-Rd-Cabot-AR-72023/255523_zpid/,,215000,2026-08-27T00:00:00.000Z,Price change,2026-08-08T00:00:00.000Z,Price change,2026-08-05T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Sold,2026-07-17T00:00:00.000Z,Contingent,2026-06-25T00:00:00.000Z,Listed for sale,2016-03-02T00:00:00.000Z,Sold,2016-01-08T00:00:00.000Z,Listed for sale,2015-12-22T00:00:00.000Z,Pending sale,2015-10-19T00:00:00.000Z,Price change,2015-09-18T00:00:00.000Z,Price change,2015-08-14T00:00:00.000Z,Listed for sale,2015-06-02T00:00:00.000Z,Sold,2015-05-07T00:00:00.000Z,Pending sale,2015-01-14T00:00:00.000Z,Price change,2014-10-03T00:00:00.000Z,Listed for sale,2013-11-15T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,
"53 Bent Tree Dr, Cabot, AR 72023",53 Bent Tree Dr,,3,1645,,1495,43,https://www.zillow.com/homedetails/53-Bent-Tree-Dr-Cabot-AR-72023/256157_zpid/,,10000,2026-09-01T00:00:00.000Z,Price change,2026-07-22T00:00:00.000Z,Listed for rent,2002-07-18T00:00:00.000Z,Sold,1993-11-12T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Undisclosed Address), Maumelle, AR 72113",(Undisclosed Address),,3,1430,,1700,12,https://www.zillow.com/homedetails/Maumelle-AR-72113/326296_zpid/,,295000,2026-08-22T00:00:00.000Z,Listed for rent,2025-10-31T00:00:00.000Z,Listing removed,2025-09-27T00:00:00.000Z,Price change,2025-08-03T00:00:00.000Z,Price change,2025-07-20T00:00:00.000Z,Listed for rent,2023-04-29T00:00:00.000Z,Listing removed,2023-04-28T00:00:00.000Z,Listed for rent,2023-04-20T00:00:00.000Z,Listing removed,2023-04-19T00:00:00.000Z,Listed for rent,2021-08-07T00:00:00.000Z,Listing removed,2021-08-05T00:00:00.000Z,Listed for rent,2021-07-28T00:00:00.000Z,Listing removed,2021-07-26T00:00:00.000Z,Listed for rent,2021-02-23T00:00:00.000Z,Listing removed,2020-07-23T00:00:00.000Z,Listing removed,2020-07-22T00:00:00.000Z,Price change,2020-07-20T00:00:00.000Z,Listed for rent,2019-10-31T00:00:00.000Z,Listing removed,2019-10-21T00:00:00.000Z,Price change,2019-10-01T00:00:00.000Z,Listed for rent,2018-08-19T00:00:00.000Z,Listing removed,2018-08-06T00:00:00.000Z,Listed for rent,2017-11-14T00:00:00.000Z,Listing removed,2017-10-11T00:00:00.000Z,Listed for rent,2014-05-06T00:00:00.000Z,Sold,2003-07-08T00:00:00.000Z,Sold,1998-12-11T00:00:00.000Z,Sold,1997-10-24T00:00:00.000Z,Sold
"59 Hickory Bend Dr, Cabot, AR 72023",59 Hickory Bend Dr,,3,2129,,2000,21,https://www.zillow.com/homedetails/59-Hickory-Bend-Dr-Cabot-AR-72023/67445626_zpid/,,207000,2026-08-13T00:00:00.000Z,Listed for rent,2023-06-25T00:00:00.000Z,Listing removed,2023-06-22T00:00:00.000Z,Listed for rent,2021-02-22T00:00:00.000Z,Sold,2016-07-15T00:00:00.000Z,Listing removed,2016-06-12T00:00:00.000Z,Price change,2016-04-29T00:00:00.000Z,Listed for sale,2011-03-30T00:00:00.000Z,Sold,2010-08-06T00:00:00.000Z,Listing removed,2010-02-22T00:00:00.000Z,Price change,2009-10-03T00:00:00.000Z,Listed for sale,2009-07-16T00:00:00.000Z,Listing removed,2009-02-16T00:00:00.000Z,Listed for sale,2008-10-27T00:00:00.000Z,Listing removed,2008-07-23T00:00:00.000Z,Price change,2007-07-07T00:00:00.000Z,Listed for sale,2004-11-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,
"314 Ray St, Cabot, AR 72023",314 Ray St,,3,1449,,1300,51,https://www.zillow.com/homedetails/314-Ray-St-Cabot-AR-72023/257086_zpid/,,700000,2026-08-19T00:00:00.000Z,Price change,2026-08-11T00:00:00.000Z,Price change,2026-07-14T00:00:00.000Z,Listed for rent,2022-08-09T00:00:00.000Z,Listing removed,2022-08-05T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2020-05-19T00:00:00.000Z,Listing removed,2020-04-10T00:00:00.000Z,Listed for rent,2018-10-23T00:00:00.000Z,Listing removed,2018-09-25T00:00:00.000Z,Listed for rent,2017-09-28T00:00:00.000Z,Listing removed,2017-08-19T00:00:00.000Z,Price change,2017-07-20T00:00:00.000Z,Listed for rent,2015-03-28T00:00:00.000Z,Listing removed,2015-02-26T00:00:00.000Z,Listed for rent,2014-01-15T00:00:00.000Z,Sold,2003-03-18T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,
"15 Silverado Ct, Cabot, AR 72023",15 Silverado Ct,,3,1382,,1350,14,https://www.zillow.com/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,,150000,2026-08-20T00:00:00.000Z,Listed for rent,2024-11-11T00:00:00.000Z,Listing removed,2024-09-27T00:00:00.000Z,Listed for rent,2022-10-26T00:00:00.000Z,Sold,2020-12-16T00:00:00.000Z,Listing removed,2020-12-08T00:00:00.000Z,Listed for rent,2020-05-16T00:00:00.000Z,Listing removed,2020-04-22T00:00:00.000Z,Listed for rent,2020-04-17T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1609 Moon Rd, Ward, AR 72176",1609 Moon Rd,,3,1026,,1095,3,https://www.zillow.com/homedetails/1609-Moon-Rd-Ward-AR-72176/99444948_zpid/,,125000,2026-08-31T00:00:00.000Z,Listed for rent,2024-05-16T00:00:00.000Z,Listing removed,2024-05-09T00:00:00.000Z,Listed for rent,2021-10-19T00:00:00.000Z,Sold,2021-09-23T00:00:00.000Z,Pending sale,2021-09-23T00:00:00.000Z,Contingent,2021-09-20T00:00:00.000Z,Listed for sale,2017-10-19T00:00:00.000Z,Sold,2017-07-13T00:00:00.000Z,Listed for sale,2011-10-22T00:00:00.000Z,Listing removed,2011-05-29T00:00:00.000Z,Price change,2011-05-07T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17 Azalea Dr, Cabot, AR 72023",17 Azalea Dr,,3,1294,,1345,71,https://www.zillow.com/homedetails/17-Azalea-Dr-Cabot-AR-72023/52495110_zpid/,,174500,2026-08-23T00:00:00.000Z,Price change,2026-08-13T00:00:00.000Z,Price change,2026-06-25T00:00:00.000Z,Listed for rent,2024-12-19T00:00:00.000Z,Sold,2024-11-09T00:00:00.000Z,Listed for sale,2022-05-27T00:00:00.000Z,Sold,2021-03-24T00:00:00.000Z,Listing removed,2018-07-11T00:00:00.000Z,Listing removed,2018-07-08T00:00:00.000Z,Listed for rent,2017-09-16T00:00:00.000Z,Listing removed,2017-05-10T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22 Oakland Cir, Austin, AR 72007",22 Oakland Cir,,3,1328,,1575,9,https://www.zillow.com/homedetails/22-Oakland-Cir-Austin-AR-72007/251409763_zpid/,,176000,2026-08-25T00:00:00.000Z,Listed for rent,2024-07-01T00:00:00.000Z,Listing removed,2024-05-14T00:00:00.000Z,Listed for rent,2024-05-02T00:00:00.000Z,Listing removed,2024-04-15T00:00:00.000Z,Price change,2024-03-28T00:00:00.000Z,Price change,2024-03-14T00:00:00.000Z,Price change,2024-02-14T00:00:00.000Z,Listed for rent,2024-01-09T00:00:00.000Z,Sold,2023-11-28T00:00:00.000Z,Listed for sale,2023-03-24T00:00:00.000Z,Sold,2019-03-29T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
