bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,livingArea,price,propertyUrl
3,6,/homedetails/1826-Auburn-Hills-Dr-Benton-AR-72015/64760739_zpid/,FOR_RENT,147500,"1826 Auburn Hills Dr, Benton, AR 72015",1826 Auburn Hills Dr,1625,2026-07-28T00:00:00.000Z,Listed for rent,2025-04-16T00:00:00.000Z,Listing removed,2022-01-24T00:00:00.000Z,Sold,2013-08-18T00:00:00.000Z,Listing removed,2013-06-02T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,2025-03-18T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2023-08-09T00:00:00.000Z,Listing removed,2023-08-07T00:00:00.000Z,Listed for rent,2023-07-27T00:00:00.000Z,Listing removed,2023-07-24T00:00:00.000Z,Listed for rent,2022-12-21T00:00:00.000Z,Sold,2022-03-16T00:00:00.000Z,Listing removed,2022-02-28T00:00:00.000Z,Listed for rent,1300,1625,https://www.zillow.com/homedetails/1826-Auburn-Hills-Dr-Benton-AR-72015/64760739_zpid/
3,6,/homedetails/13498-Alexis-Dr-Alexander-AR-72002/68024857_zpid/,FOR_RENT,143000,"13498 Alexis Dr, Alexander, AR 72002",13498 Alexis Dr,1550,2026-07-29T00:00:00.000Z,Listed for rent,2024-09-13T00:00:00.000Z,Listing removed,2015-08-21T00:00:00.000Z,Listing removed,2015-07-02T00:00:00.000Z,Price change,2015-06-05T00:00:00.000Z,Listed for rent,2007-01-02T00:00:00.000Z,Sold,,,,,,,,,,,,,2024-08-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2024-08-05T00:00:00.000Z,Listing removed,2024-07-26T00:00:00.000Z,Listed for rent,2020-06-18T00:00:00.000Z,Listing removed,2020-05-22T00:00:00.000Z,Listed for rent,2018-10-25T00:00:00.000Z,Listing removed,2018-09-02T00:00:00.000Z,Listed for rent,2016-09-07T00:00:00.000Z,Listing removed,1545,1550,https://www.zillow.com/homedetails/13498-Alexis-Dr-Alexander-AR-72002/68024857_zpid/
3,21,/homedetails/509-North-St-Bryant-AR-72022/391371_zpid/,FOR_RENT,155000,"509 North St, Bryant, AR 72022",509 North St,1875,2026-07-13T00:00:00.000Z,Listed for rent,2022-06-22T00:00:00.000Z,Listing removed,2016-04-19T00:00:00.000Z,Listed for sale,2013-11-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,2022-06-17T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2021-05-17T00:00:00.000Z,Listing removed,2021-05-13T00:00:00.000Z,Listed for rent,2021-04-13T00:00:00.000Z,Sold,2021-01-02T00:00:00.000Z,Contingent,2020-12-14T00:00:00.000Z,Price change,2020-11-17T00:00:00.000Z,Listed for sale,2016-04-29T00:00:00.000Z,Listing removed,1850,1875,https://www.zillow.com/homedetails/509-North-St-Bryant-AR-72022/391371_zpid/
3,32,/homedetails/2750-Bowman-Ln-Conway-AR-72034/241246_zpid/,FOR_RENT,255000,"2750 Bowman Ln, Conway, AR 72034",2750 Bowman Ln,1650,2026-07-17T00:00:00.000Z,Price change,2026-07-03T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,2023-12-20T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,2023-11-30T00:00:00.000Z,Price change,2023-11-04T00:00:00.000Z,Listed for rent,2014-07-02T00:00:00.000Z,Sold,2007-07-18T00:00:00.000Z,Sold,1994-06-06T00:00:00.000Z,Sold,,,,,1668,1650,https://www.zillow.com/homedetails/2750-Bowman-Ln-Conway-AR-72034/241246_zpid/
3,28,/homedetails/807-S-Main-Benton-AR-72015/382019_zpid/,FOR_RENT,109900,"807 S Main, Benton, AR 72015",807 S Main,1300,2026-07-31T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Price change,2019-10-11T00:00:00.000Z,Price change,2019-10-09T00:00:00.000Z,Price change,2019-10-07T00:00:00.000Z,Price change,2019-10-04T00:00:00.000Z,Price change,2019-10-02T00:00:00.000Z,Price change,2019-09-30T00:00:00.000Z,Price change,2019-09-28T00:00:00.000Z,Listed for sale,2019-09-27T00:00:00.000Z,Sold,2019-09-23T00:00:00.000Z,Price change,2019-09-21T00:00:00.000Z,Price change,2026-07-06T00:00:00.000Z,Listed for rent,2019-09-18T00:00:00.000Z,Price change,2019-09-16T00:00:00.000Z,Price change,2019-09-14T00:00:00.000Z,Price change,2019-09-11T00:00:00.000Z,Price change,2019-09-07T00:00:00.000Z,Price change,2019-08-31T00:00:00.000Z,Price change,2019-08-29T00:00:00.000Z,Listed for sale,2009-03-31T00:00:00.000Z,Sold,2020-04-16T00:00:00.000Z,Sold,2020-04-06T00:00:00.000Z,Listing removed,2020-04-02T00:00:00.000Z,Price change,2020-02-17T00:00:00.000Z,Listed for rent,2019-10-19T00:00:00.000Z,Listing removed,2019-10-18T00:00:00.000Z,Price change,2019-10-16T00:00:00.000Z,Price change,1288,1300,https://www.zillow.com/homedetails/807-S-Main-Benton-AR-72015/382019_zpid/
3,17,/homedetails/414-Newcomb-Cv-Benton-AR-72015/384931_zpid/,FOR_RENT,65531,"414 Newcomb Cv, Benton, AR 72015",414 Newcomb Cv,1600,2026-07-17T00:00:00.000Z,Listed for rent,2010-11-30T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2005-03-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,1600,https://www.zillow.com/homedetails/414-Newcomb-Cv-Benton-AR-72015/384931_zpid/
4,44,/homedetails/6673-Hollywood-Ave-Benton-AR-72019/461413230_zpid/,FOR_RENT,215900,"6673 Hollywood Ave, Benton, AR 72019",6673 Hollywood Ave,1845,2026-07-22T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,,,,,2026-06-20T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2026-05-28T00:00:00.000Z,Sold,2026-04-30T00:00:00.000Z,Contingent,2026-03-31T00:00:00.000Z,Listed for sale,,,,,,,,,2250,1845,https://www.zillow.com/homedetails/6673-Hollywood-Ave-Benton-AR-72019/461413230_zpid/
3,33,/homedetails/103-Pope-Dr-Benton-AR-72015/82243468_zpid/,FOR_RENT,115000,"103 Pope Dr, Benton, AR 72015",103 Pope Dr,1625,2026-07-01T00:00:00.000Z,Listed for rent,2024-08-21T00:00:00.000Z,Listing removed,2013-11-25T00:00:00.000Z,Listed for sale,2013-10-08T00:00:00.000Z,Sold,2012-06-06T00:00:00.000Z,Listing removed,2012-05-24T00:00:00.000Z,Price change,2012-03-22T00:00:00.000Z,Listed for sale,2008-01-28T00:00:00.000Z,Sold,,,,,,,,,2024-07-02T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2024-05-31T00:00:00.000Z,Listed for rent,2017-07-19T00:00:00.000Z,Listing removed,2017-06-17T00:00:00.000Z,Listed for rent,2016-11-06T00:00:00.000Z,Listing removed,2014-04-08T00:00:00.000Z,Listing removed,2014-01-31T00:00:00.000Z,Sold,2014-01-29T00:00:00.000Z,Listed for rent,1559,1625,https://www.zillow.com/homedetails/103-Pope-Dr-Benton-AR-72015/82243468_zpid/
4,32,/homedetails/1056-Huntington-Dr-Benton-AR-72019/2061811695_zpid/,FOR_RENT,206900,"1056 Huntington Dr, Benton, AR 72019",1056 Huntington Dr,1625,2026-07-02T00:00:00.000Z,Listed for rent,2025-06-23T00:00:00.000Z,Listing removed,2022-10-05T00:00:00.000Z,Contingent,2022-10-04T00:00:00.000Z,Price change,2022-08-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,2025-05-14T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2025-05-07T00:00:00.000Z,Price change,2025-04-30T00:00:00.000Z,Price change,2025-04-23T00:00:00.000Z,Price change,2025-04-04T00:00:00.000Z,Listed for rent,2024-02-10T00:00:00.000Z,Listing removed,2024-01-25T00:00:00.000Z,Listed for rent,2022-11-23T00:00:00.000Z,Sold,1470,1625,https://www.zillow.com/homedetails/1056-Huntington-Dr-Benton-AR-72019/2061811695_zpid/
4,54,/homedetails/17024-Congo-Ferndale-Rd-Little-Rock-AR-72210/370120_zpid/,FOR_RENT,279500,"17024 Congo Ferndale Rd, Little Rock, AR 72210",17024 Congo Ferndale Rd,1675,2026-06-10T00:00:00.000Z,Listed for rent,2020-09-11T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2020-07-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2018-05-13T00:00:00.000Z,Listing removed,2018-01-31T00:00:00.000Z,Listed for rent,2017-03-29T00:00:00.000Z,Sold,,,,,,,,,1590,1675,https://www.zillow.com/homedetails/17024-Congo-Ferndale-Rd-Little-Rock-AR-72210/370120_zpid/
