bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,livingArea,price,propertyUrl
3,4,/homedetails/1533-S-Battleground-Ave-Kings-Mountain-NC-28086/464400646_zpid/,FOR_RENT,,"1533 S Battleground Ave, Kings Mountain, NC 28086",1533 S Battleground Ave,1900,2026-08-07T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1900,https://www.zillow.com/homedetails/1533-S-Battleground-Ave-Kings-Mountain-NC-28086/464400646_zpid/
3,81,/homedetails/2034-Shelby-Rd-Kings-Mountain-NC-28086/93001483_zpid/,FOR_RENT,,"2034 Shelby Rd, Kings Mountain, NC 28086",2034 Shelby Rd,1250,2026-05-23T00:00:00.000Z,Listed for rent,2025-11-06T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2025-10-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2025-06-28T00:00:00.000Z,Listing removed,2025-06-25T00:00:00.000Z,Listed for rent,,,,,,,,,,,910,1250,https://www.zillow.com/homedetails/2034-Shelby-Rd-Kings-Mountain-NC-28086/93001483_zpid/
4,28,/homedetails/206-Churchill-Dr-Kings-Mountain-NC-28086/336757347_zpid/,FOR_RENT,218000,"206 Churchill Dr, Kings Mountain, NC 28086",206 Churchill Dr,1999,2026-08-11T00:00:00.000Z,Price change,2026-08-04T00:00:00.000Z,Price change,2025-03-26T00:00:00.000Z,Listing removed,2025-03-26T00:00:00.000Z,Price change,2025-03-19T00:00:00.000Z,Price change,2025-02-26T00:00:00.000Z,Listed for rent,2023-03-17T00:00:00.000Z,Listing removed,2023-03-09T00:00:00.000Z,Price change,2023-03-01T00:00:00.000Z,Price change,2023-01-26T00:00:00.000Z,Price change,2023-01-21T00:00:00.000Z,Price change,2023-01-11T00:00:00.000Z,Listed for rent,2026-07-14T00:00:00.000Z,Listed for rent,2022-11-10T00:00:00.000Z,Sold,2022-10-18T00:00:00.000Z,Pending sale,2020-10-01T00:00:00.000Z,Sold,,,,,,,,,,,2025-08-22T00:00:00.000Z,Listing removed,2025-08-20T00:00:00.000Z,Price change,2025-08-13T00:00:00.000Z,Price change,2025-08-06T00:00:00.000Z,Price change,2025-08-02T00:00:00.000Z,Price change,2025-07-29T00:00:00.000Z,Price change,2025-07-23T00:00:00.000Z,Listed for rent,1710,1999,https://www.zillow.com/homedetails/206-Churchill-Dr-Kings-Mountain-NC-28086/336757347_zpid/
3,34,/homedetails/1343-S-Battleground-Ave-Kings-Mountain-NC-28086/78285925_zpid/,FOR_RENT,995000,"1343 S Battleground Ave, Kings Mountain, NC 28086",1343 S Battleground Ave,2400,2026-07-10T00:00:00.000Z,Listed for rent,2023-09-02T00:00:00.000Z,Listing removed,2022-03-30T00:00:00.000Z,Sold,2022-02-17T00:00:00.000Z,Pending sale,2022-02-16T00:00:00.000Z,Contingent,2022-02-15T00:00:00.000Z,Listed for sale,2021-11-16T00:00:00.000Z,Contingent,2021-11-06T00:00:00.000Z,Pending sale,2021-11-06T00:00:00.000Z,Contingent,2021-08-15T00:00:00.000Z,Listed for sale,,,,,2023-08-28T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2023-08-05T00:00:00.000Z,Listing removed,2023-08-04T00:00:00.000Z,Price change,2023-08-01T00:00:00.000Z,Listed for rent,2022-10-25T00:00:00.000Z,Listing removed,2022-09-08T00:00:00.000Z,Listed for rent,2022-07-22T00:00:00.000Z,Listing removed,2022-07-17T00:00:00.000Z,Listed for rent,1724,2400,https://www.zillow.com/homedetails/1343-S-Battleground-Ave-Kings-Mountain-NC-28086/78285925_zpid/
3,496,/homedetails/203-Benfield-Rd-Kings-Mountain-NC-28086/446679273_zpid/,SOLD,265000,"203 Benfield Rd, Kings Mountain, NC 28086",203 Benfield Rd,265000,2026-08-06T00:00:00.000Z,Listing removed,2026-07-09T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,,,,,2026-06-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2025-04-02T00:00:00.000Z,Sold,2025-02-26T00:00:00.000Z,Price change,2025-01-29T00:00:00.000Z,Listed for sale,,,,,,,,,1531,265000,https://www.zillow.com/homedetails/203-Benfield-Rd-Kings-Mountain-NC-28086/446679273_zpid/
3,1,/homedetails/404-Marcella-Dr-Kings-Mountain-NC-28086/214091791_zpid/,FOR_RENT,255000,"404 Marcella Dr, Kings Mountain, NC 28086",404 Marcella Dr,2149,2026-08-11T00:00:00.000Z,Listed for rent,2021-08-17T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2021-08-06T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2021-07-22T00:00:00.000Z,Listed for rent,2021-06-24T00:00:00.000Z,Sold,2021-06-03T00:00:00.000Z,Pending sale,2021-05-26T00:00:00.000Z,Listed for sale,2016-05-24T00:00:00.000Z,Sold,,,,,1507,2149,https://www.zillow.com/homedetails/404-Marcella-Dr-Kings-Mountain-NC-28086/214091791_zpid/
3,22,/homedetails/356-Navaho-Trl-Conway-AR-72032/242016_zpid/,FOR_RENT,140000,"356 Navaho Trl, Conway, AR 72032",356 Navaho Trl,1750,2026-07-20T00:00:00.000Z,Listed for rent,2025-08-06T00:00:00.000Z,Listing removed,2016-03-24T00:00:00.000Z,Listing removed,2015-09-29T00:00:00.000Z,Listed for rent,2015-07-13T00:00:00.000Z,Sold,2011-02-28T00:00:00.000Z,Sold,2010-08-04T00:00:00.000Z,Listing removed,2010-04-17T00:00:00.000Z,Price change,2010-01-24T00:00:00.000Z,Price change,2009-11-29T00:00:00.000Z,Price change,2009-10-31T00:00:00.000Z,Price change,2009-04-08T00:00:00.000Z,Listed for sale,2025-07-18T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2022-10-25T00:00:00.000Z,Listing removed,2022-10-17T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2018-10-08T00:00:00.000Z,Listing removed,2018-07-10T00:00:00.000Z,Listed for rent,2017-07-04T00:00:00.000Z,Listing removed,2017-06-26T00:00:00.000Z,Listed for rent,1789,1750,https://www.zillow.com/homedetails/356-Navaho-Trl-Conway-AR-72032/242016_zpid/
3,0,/homedetails/1906-Dave-Ward-Dr-Conway-AR-72034/2061771487_zpid/,FOR_RENT,,"1906 Dave Ward Dr, Conway, AR 72034",1906 Dave Ward Dr,1000,2026-08-11T00:00:00.000Z,Listed for rent,2025-12-18T00:00:00.000Z,Listing removed,2024-03-18T00:00:00.000Z,Price change,2024-02-16T00:00:00.000Z,Price change,2024-02-13T00:00:00.000Z,Price change,2024-01-31T00:00:00.000Z,Listed for rent,2023-11-30T00:00:00.000Z,Listing removed,2023-11-15T00:00:00.000Z,Listed for rent,2022-10-25T00:00:00.000Z,Listing removed,2022-10-18T00:00:00.000Z,Price change,2022-10-02T00:00:00.000Z,Price change,2022-08-26T00:00:00.000Z,Listed for rent,2025-11-11T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2025-10-28T00:00:00.000Z,Price change,2025-10-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Listed for rent,2024-05-29T00:00:00.000Z,Listing removed,2024-05-14T00:00:00.000Z,Price change,2024-04-23T00:00:00.000Z,Price change,2024-04-15T00:00:00.000Z,Price change,1335,1000,https://www.zillow.com/homedetails/1906-Dave-Ward-Dr-Conway-AR-72034/2061771487_zpid/
3,1,/homedetails/2830-Longbow-Ln-Conway-AR-72034/82265622_zpid/,FOR_RENT,192099,"2830 Longbow Ln, Conway, AR 72034",2830 Longbow Ln,1450,2026-08-10T00:00:00.000Z,Listed for rent,2024-07-03T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2024-06-17T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2022-05-27T00:00:00.000Z,Sold,2008-02-29T00:00:00.000Z,Sold,,,,,,,,,,,1388,1450,https://www.zillow.com/homedetails/2830-Longbow-Ln-Conway-AR-72034/82265622_zpid/
5,26,/homedetails/231-Brinkley-Dr-Kings-Mountain-NC-28086/349365612_zpid/,FOR_RENT,332000,"231 Brinkley Dr, Kings Mountain, NC 28086",231 Brinkley Dr,2595,2026-08-07T00:00:00.000Z,Price change,2026-07-16T00:00:00.000Z,Listed for rent,2024-08-14T00:00:00.000Z,Price change,2024-07-09T00:00:00.000Z,Price change,2024-05-07T00:00:00.000Z,Price change,2024-05-04T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,2026-07-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,2026-05-14T00:00:00.000Z,Listed for sale,2026-05-10T00:00:00.000Z,Listing removed,2026-03-03T00:00:00.000Z,Price change,2026-02-05T00:00:00.000Z,Price change,2025-11-06T00:00:00.000Z,Listed for sale,2024-10-25T00:00:00.000Z,Sold,2024-08-21T00:00:00.000Z,Price change,2400,2595,https://www.zillow.com/homedetails/231-Brinkley-Dr-Kings-Mountain-NC-28086/349365612_zpid/
