listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"225 Ebenezer Rd, Kings Mountain, NC 28086",225 Ebenezer Rd,other,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/225-ebenezer-rd-/CqBmQB/,,
"311 E King St, Kings Mountain, NC 28086",311 E King St,forRent,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/sh368-the-towns-at-kings-mountain/9Pm8gB/,,
"111 Wells St, Kings Mountain, NC 28086",111 Wells St,other,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/111-wells-st/9BMCmy/,,
"107 Kings Oak Cir, Kings Mountain, NC 28086",107 Kings Oak Cir,forRent,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/cambridge-oaks-ii-apts/ChKpLx/,,
"140 W Mountain St, Kings Mountain, NC 28086",140 W Mountain St,forRent,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/140-w-mountain-st/CFTcnh/,,
"48 Julian St, Kings Mountain, NC 28086",48 Julian St,forRent,,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/48-julian-street/5Yrsd5/,,
