listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"2230 Linda Dr, Conway, AR 72032",2230 Linda Dr,Conway,AR,,forRent,3,1348,,1650,3,https://www.zillow.com/homedetails/2230-Linda-Dr-Conway-AR-72032/102994419_zpid/,,205000,2026-09-21T00:00:00.000Z,Listed for rent,2023-11-10T00:00:00.000Z,Listing removed,2023-10-17T00:00:00.000Z,Listed for rent,2023-10-03T00:00:00.000Z,Sold,2021-03-24T00:00:00.000Z,Listing removed,2017-09-25T00:00:00.000Z,Listing removed
"15 Leruss Blvd, Cabot, AR 72023",15 Leruss Blvd,Cabot,AR,,forRent,,,,,,https://www.zillow.com/b/15-leruss-blvd-cabot-ar-CkhJp8/,,,,,,,,,,,,,,
"640 Cherub Dr, Conway, AR 72034",640 Cherub Dr,Conway,AR,,forRent,3,1144,,1500,11,https://www.zillow.com/homedetails/640-Cherub-Dr-Conway-AR-72034/242932_zpid/,,180000,2026-09-13T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-27T00:00:00.000Z,Contingent,2026-07-26T00:00:00.000Z,Listed for sale,2018-04-26T00:00:00.000Z,Sold,2013-10-04T00:00:00.000Z,Sold
"34 Woodhaven Dr, Cabot, AR 72023",34 Woodhaven Dr,Cabot,AR,,forRent,3,1305,,1550,49,https://www.zillow.com/homedetails/34-Woodhaven-Dr-Cabot-AR-72023/338206710_zpid/,,165000,2026-09-19T00:00:00.000Z,Price change,2026-09-12T00:00:00.000Z,Price change,2026-08-07T00:00:00.000Z,Listed for rent,2025-04-03T00:00:00.000Z,Listing removed,2025-03-15T00:00:00.000Z,Price change,2025-02-13T00:00:00.000Z,Price change
"1315 Fairlane Dr, Conway, AR 72034",1315 Fairlane Dr,Conway,AR,,forRent,3,1288,,1300,3,https://www.zillow.com/homedetails/1315-Fairlane-Dr-Conway-AR-72034/234174_zpid/,,77000,2026-09-21T00:00:00.000Z,Listed for rent,2021-06-18T00:00:00.000Z,Sold,2014-11-12T00:00:00.000Z,Sold,1999-09-27T00:00:00.000Z,Sold,,,,
"1740 Raden St, Conway, AR 72032",1740 Raden St,Conway,AR,,forRent,3,1243,,1650,15,https://www.zillow.com/homedetails/1740-Raden-St-Conway-AR-72032/2061816633_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-05-19T00:00:00.000Z,Listing removed,2026-02-27T00:00:00.000Z,Price change,2022-11-09T00:00:00.000Z,Price change,2022-10-11T00:00:00.000Z,Price change,2022-08-22T00:00:00.000Z,Listed for rent
"1306 Bellemeade Dr, Conway, AR 72034",1306 Bellemeade Dr,Conway,AR,,forRent,3,2220,,1775,42,https://www.zillow.com/homedetails/1306-Bellemeade-Dr-Conway-AR-72034/234155_zpid/,,89090,2026-08-13T00:00:00.000Z,Listed for rent,2025-06-20T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2017-12-01T00:00:00.000Z,Listing removed,2017-08-20T00:00:00.000Z,Price change,2017-05-31T00:00:00.000Z,Listed for sale
"103 E Concord Rd, Mayflower, AR 72106",103 E Concord Rd,Mayflower,AR,,forRent,3,1413,,1660,16,https://www.zillow.com/homedetails/103-E-Concord-Rd-Mayflower-AR-72106/463058000_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-20T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,,,,
"1810 Rich Smith Ln, Conway, AR 72032",1810 Rich Smith Ln,Conway,AR,,forRent,3,2310,,2500,59,https://www.zillow.com/homedetails/1810-Rich-Smith-Ln-Conway-AR-72032/102992676_zpid/,,,2026-07-27T00:00:00.000Z,Price change,2026-06-22T00:00:00.000Z,Price change,2026-04-22T00:00:00.000Z,Price change,2026-01-07T00:00:00.000Z,Listed for rent,,,,
"1610 Raden St, Conway, AR 72032",1610 Raden St,Conway,AR,,forRent,3,1243,,1650,43,https://www.zillow.com/homedetails/1610-Raden-St-Conway-AR-72032/2066419442_zpid/,,,2026-08-12T00:00:00.000Z,Listed for rent,2025-10-04T00:00:00.000Z,Listing removed,2025-10-03T00:00:00.000Z,Listed for rent,2025-10-03T00:00:00.000Z,Listing removed,2025-07-18T00:00:00.000Z,Listed for rent,2023-12-30T00:00:00.000Z,Listing removed
