bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,livingArea,price,propertyUrl
3,2,/homedetails/1716-College-Ave-Conway-AR-72034/2088717945_zpid/,FOR_RENT,,"1716 College Ave, Conway, AR 72034",1716 College Ave,1400,2026-07-31T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2019-12-08T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,2019-11-13T00:00:00.000Z,Price change,2019-09-30T00:00:00.000Z,Listed for rent,2019-07-11T00:00:00.000Z,Listing removed,2019-05-17T00:00:00.000Z,Listed for rent,2018-08-14T00:00:00.000Z,Listing removed,2018-08-10T00:00:00.000Z,Price change,2018-07-09T00:00:00.000Z,Listed for rent,1300,1400,https://www.zillow.com/homedetails/1716-College-Ave-Conway-AR-72034/2088717945_zpid/
3,31,/homedetails/2750-Bowman-Ln-Conway-AR-72034/241246_zpid/,FOR_RENT,255000,"2750 Bowman Ln, Conway, AR 72034",2750 Bowman Ln,1650,2026-07-17T00:00:00.000Z,Price change,2026-07-03T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,2023-12-20T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,2023-11-30T00:00:00.000Z,Price change,2023-11-04T00:00:00.000Z,Listed for rent,2014-07-02T00:00:00.000Z,Sold,2007-07-18T00:00:00.000Z,Sold,1994-06-06T00:00:00.000Z,Sold,,,,,1668,1650,https://www.zillow.com/homedetails/2750-Bowman-Ln-Conway-AR-72034/241246_zpid/
3,11,/homedetails/18-Ledrick-Cir-Mayflower-AR-72106/464066466_zpid/,FOR_RENT,,"18 Ledrick Cir, Mayflower, AR 72106",18 Ledrick Cir,1650,2026-07-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1650,https://www.zillow.com/homedetails/18-Ledrick-Cir-Mayflower-AR-72106/464066466_zpid/
3,15,/homedetails/8-Cemetery-Rd-Vilonia-AR-72173/305836626_zpid/,FOR_RENT,,"8 Cemetery Rd, Vilonia, AR 72173",8 Cemetery Rd,1500,2026-07-18T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,https://www.zillow.com/homedetails/8-Cemetery-Rd-Vilonia-AR-72173/305836626_zpid/
3,4,/homedetails/1125-Trenton-Dr-Conway-AR-72034/35729992_zpid/,FOR_RENT,114000,"1125 Trenton Dr, Conway, AR 72034",1125 Trenton Dr,1500,2026-07-30T00:00:00.000Z,Listed for rent,2025-08-21T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2025-08-17T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2022-05-04T00:00:00.000Z,Listing removed,2022-04-16T00:00:00.000Z,Listed for rent,2007-10-05T00:00:00.000Z,Sold,2003-06-17T00:00:00.000Z,Sold,,,,,,,1228,1500,https://www.zillow.com/homedetails/1125-Trenton-Dr-Conway-AR-72034/35729992_zpid/
3,9,/homedetails/2-Hawthorne-Dr-Conway-AR-72034/237001_zpid/,FOR_RENT,102000,"2 Hawthorne Dr, Conway, AR 72034",2 Hawthorne Dr,1800,2026-07-24T00:00:00.000Z,Listed for rent,2014-07-29T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2014-05-16T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2014-02-28T00:00:00.000Z,Listed for sale,2014-01-01T00:00:00.000Z,Listing removed,2013-10-29T00:00:00.000Z,Price change,2013-10-04T00:00:00.000Z,Price change,2013-08-08T00:00:00.000Z,Listed for sale,2011-08-31T00:00:00.000Z,Sold,,,1408,1800,https://www.zillow.com/homedetails/2-Hawthorne-Dr-Conway-AR-72034/237001_zpid/
3,13,/homedetails/5-Valmont-St-Greenbrier-AR-72058/71715127_zpid/,FOR_RENT,140000,"5 Valmont St, Greenbrier, AR 72058",5 Valmont St,1500,2026-07-20T00:00:00.000Z,Listed for rent,2024-06-04T00:00:00.000Z,Listing removed,2018-12-28T00:00:00.000Z,Listed for rent,2018-10-15T00:00:00.000Z,Sold,2018-09-17T00:00:00.000Z,Listed for sale,2006-10-16T00:00:00.000Z,Sold,,,,,,,,,,,,,2024-05-16T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2024-05-08T00:00:00.000Z,Listed for rent,2023-09-23T00:00:00.000Z,Listing removed,2023-09-01T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2019-10-23T00:00:00.000Z,Listing removed,2019-10-02T00:00:00.000Z,Listed for rent,2019-01-23T00:00:00.000Z,Listing removed,1750,1500,https://www.zillow.com/homedetails/5-Valmont-St-Greenbrier-AR-72058/71715127_zpid/
3,19,/homedetails/Conway-AR-72034/59918018_zpid/,FOR_RENT,164000,"(Undisclosed Address), Conway, AR 72034",(Undisclosed Address),1600,2026-07-15T00:00:00.000Z,Listed for rent,2020-08-14T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2020-07-11T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,2008-11-19T00:00:00.000Z,Sold,,,,,,,,,,,,,1389,1600,https://www.zillow.com/homedetails/Conway-AR-72034/59918018_zpid/
3,17,/homedetails/1845-Arden-Ln-Conway-AR-72034/71714882_zpid/,FOR_RENT,139000,"1845 Arden Ln, Conway, AR 72034",1845 Arden Ln,1650,2026-07-17T00:00:00.000Z,Listed for rent,2024-07-03T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2024-06-25T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2023-02-27T00:00:00.000Z,Listing removed,2023-02-22T00:00:00.000Z,Listed for rent,2021-01-19T00:00:00.000Z,Listing removed,2021-01-09T00:00:00.000Z,Listed for rent,2020-12-16T00:00:00.000Z,Sold,,,,,1205,1650,https://www.zillow.com/homedetails/1845-Arden-Ln-Conway-AR-72034/71714882_zpid/
3,17,/homedetails/2220-Chase-Dr-Conway-AR-72034/35730147_zpid/,FOR_RENT,141000,"2220 Chase Dr, Conway, AR 72034",2220 Chase Dr,1850,2026-07-16T00:00:00.000Z,Listed for rent,2025-04-11T00:00:00.000Z,Listing removed,2006-02-08T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,2025-04-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2025-03-29T00:00:00.000Z,Listing removed,2025-01-19T00:00:00.000Z,Price change,2025-01-18T00:00:00.000Z,Listed for rent,2012-10-25T00:00:00.000Z,Sold,2011-08-25T00:00:00.000Z,Sold,2009-07-29T00:00:00.000Z,Sold,2009-04-13T00:00:00.000Z,Sold,1582,1850,https://www.zillow.com/homedetails/2220-Chase-Dr-Conway-AR-72034/35730147_zpid/
