listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"104 10th Ave SE, Hickory, NC 28602",104 10th Ave SE,FOR_RENT,3,1333,1595,1595,75,https://www.zillow.com/homedetails/104-10th-Ave-SE-Hickory-NC-28602/71959215_zpid/,/homedetails/104-10th-Ave-SE-Hickory-NC-28602/71959215_zpid/,420000,2026-06-09T00:00:00.000Z,Listed for rent,2025-12-17T00:00:00.000Z,Sold,2025-10-09T00:00:00.000Z,Listed for sale,2024-12-30T00:00:00.000Z,Sold,2024-11-05T00:00:00.000Z,Listed for sale,2015-02-28T00:00:00.000Z,Listing removed,2015-02-20T00:00:00.000Z,Price change,2015-02-04T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1359 37th Avenue Ln NE, Hickory, NC 28601",1359 37th Avenue Ln NE,FOR_RENT,4,1927,2300,2300,10,https://www.zillow.com/homedetails/1359-37th-Avenue-Ln-NE-Hickory-NC-28601/455923523_zpid/,/homedetails/1359-37th-Avenue-Ln-NE-Hickory-NC-28601/455923523_zpid/,,2026-08-13T00:00:00.000Z,Listed for rent,2025-10-07T00:00:00.000Z,Listing removed,2025-09-16T00:00:00.000Z,Price change,2025-08-13T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2110 24th St NE, Hickory, NC 28601",2110 24th St NE,FOR_RENT,3,1248,1700,1700,73,https://www.zillow.com/homedetails/2110-24th-St-NE-Hickory-NC-28601/71911952_zpid/,/homedetails/2110-24th-St-NE-Hickory-NC-28601/71911952_zpid/,100000,2026-05-13T00:00:00.000Z,Price change,2026-02-27T00:00:00.000Z,Listed for rent,1994-09-01T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1342 37th Avenue Ln NE, Hickory, NC 28601",1342 37th Avenue Ln NE,FOR_RENT,4,1927,2350,2350,24,https://www.zillow.com/homedetails/1342-37th-Avenue-Ln-NE-Hickory-NC-28601/453027689_zpid/,/homedetails/1342-37th-Avenue-Ln-NE-Hickory-NC-28601/453027689_zpid/,,2026-07-30T00:00:00.000Z,Listed for rent,2025-08-12T00:00:00.000Z,Listing removed,2025-07-31T00:00:00.000Z,Listed for rent,2025-06-14T00:00:00.000Z,Listing removed,2025-06-07T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1266 18th St NE, Hickory, NC 28601",1266 18th St NE,FOR_RENT,3,1288,1800,1800,24,https://www.zillow.com/homedetails/1266-18th-St-NE-Hickory-NC-28601/71903862_zpid/,/homedetails/1266-18th-St-NE-Hickory-NC-28601/71903862_zpid/,225000,2026-07-30T00:00:00.000Z,Listed for rent,2025-10-07T00:00:00.000Z,Listing removed,2025-08-27T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Sold,2025-07-23T00:00:00.000Z,Price change,2025-07-09T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Price change,2025-06-06T00:00:00.000Z,Price change,2025-06-02T00:00:00.000Z,Listed for sale,2023-04-19T00:00:00.000Z,Sold,2023-03-20T00:00:00.000Z,Pending sale,2023-03-18T00:00:00.000Z,Price change,2023-03-08T00:00:00.000Z,Price change,2023-02-21T00:00:00.000Z,Price change,2023-02-10T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,
"1330 37th Avenue Ln NE, Hickory, NC 28601",1330 37th Avenue Ln NE,FOR_RENT,5,2368,2700,2700,19,https://www.zillow.com/homedetails/1330-37th-Avenue-Ln-NE-Hickory-NC-28601/452771842_zpid/,/homedetails/1330-37th-Avenue-Ln-NE-Hickory-NC-28601/452771842_zpid/,330000,2026-08-04T00:00:00.000Z,Listed for rent,2025-09-16T00:00:00.000Z,Sold,2025-06-09T00:00:00.000Z,Pending sale,2025-06-04T00:00:00.000Z,Price change,2025-05-31T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26 Mustang Dr, Cabot, AR 72023",26 Mustang Dr,FOR_RENT,3,1537,1595,1595,45,https://www.zillow.com/homedetails/26-Mustang-Dr-Cabot-AR-72023/63160976_zpid/,/homedetails/26-Mustang-Dr-Cabot-AR-72023/63160976_zpid/,310000,2026-08-19T00:00:00.000Z,Price change,2026-07-10T00:00:00.000Z,Listed for rent,2024-06-27T00:00:00.000Z,Sold,2024-06-15T00:00:00.000Z,Listing removed,2024-04-04T00:00:00.000Z,Listed for rent,2024-03-21T00:00:00.000Z,Sold,2024-03-15T00:00:00.000Z,Contingent,2024-03-10T00:00:00.000Z,Listed for sale,2018-07-02T00:00:00.000Z,Listing removed,2018-06-26T00:00:00.000Z,Listed for rent,2017-02-07T00:00:00.000Z,Listing removed,2017-02-02T00:00:00.000Z,Listed for rent,2015-11-06T00:00:00.000Z,Listing removed,2015-10-11T00:00:00.000Z,Listed for rent,2015-08-31T00:00:00.000Z,Listing removed,2015-08-22T00:00:00.000Z,Listed for rent,2014-09-19T00:00:00.000Z,Listing removed,2014-09-04T00:00:00.000Z,Listed for rent,2013-08-26T00:00:00.000Z,Listing removed,2013-08-21T00:00:00.000Z,Listed for rent,2011-03-03T00:00:00.000Z,Listing removed,2011-02-15T00:00:00.000Z,Listed for sale,2011-01-26T00:00:00.000Z,Sold,2010-11-26T00:00:00.000Z,Price change,2010-05-30T00:00:00.000Z,Listed for sale,,,,,,
"314 Ray St, Cabot, AR 72023",314 Ray St,FOR_RENT,3,1449,1300,1300,40,https://www.zillow.com/homedetails/314-Ray-St-Cabot-AR-72023/257086_zpid/,/homedetails/314-Ray-St-Cabot-AR-72023/257086_zpid/,700000,2026-08-19T00:00:00.000Z,Price change,2026-08-11T00:00:00.000Z,Price change,2026-07-14T00:00:00.000Z,Listed for rent,2022-08-09T00:00:00.000Z,Listing removed,2022-08-05T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2020-05-19T00:00:00.000Z,Listing removed,2020-04-10T00:00:00.000Z,Listed for rent,2018-10-23T00:00:00.000Z,Listing removed,2018-09-25T00:00:00.000Z,Listed for rent,2017-09-28T00:00:00.000Z,Listing removed,2017-08-19T00:00:00.000Z,Price change,2017-07-20T00:00:00.000Z,Listed for rent,2015-03-28T00:00:00.000Z,Listing removed,2015-02-26T00:00:00.000Z,Listed for rent,2014-01-15T00:00:00.000Z,Sold,2003-03-18T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,
"15 Silverado Ct, Cabot, AR 72023",15 Silverado Ct,FOR_RENT,3,1382,1350,1350,3,https://www.zillow.com/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,150000,2026-08-20T00:00:00.000Z,Listed for rent,2024-11-11T00:00:00.000Z,Listing removed,2024-09-27T00:00:00.000Z,Listed for rent,2022-10-26T00:00:00.000Z,Sold,2020-12-16T00:00:00.000Z,Listing removed,2020-12-08T00:00:00.000Z,Listed for rent,2020-05-16T00:00:00.000Z,Listing removed,2020-04-22T00:00:00.000Z,Listed for rent,2020-04-17T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"509 E Elm St, Cabot, AR 72023",509 E Elm St,FOR_RENT,3,1056,1450,1450,45,https://www.zillow.com/homedetails/509-E-Elm-St-Cabot-AR-72023/257181_zpid/,/homedetails/509-E-Elm-St-Cabot-AR-72023/257181_zpid/,185000,2026-08-20T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Listed for rent,2026-07-09T00:00:00.000Z,Listing removed,2026-05-02T00:00:00.000Z,Listed for rent,2026-04-16T00:00:00.000Z,Listing removed,2026-02-18T00:00:00.000Z,Price change,2026-02-04T00:00:00.000Z,Listed for rent,2023-04-10T00:00:00.000Z,Sold,2023-01-19T00:00:00.000Z,Listing removed,2023-01-18T00:00:00.000Z,Listed for rent,2023-01-06T00:00:00.000Z,Listing removed,2022-10-26T00:00:00.000Z,Listed for sale,2021-05-28T00:00:00.000Z,Sold,2015-07-27T00:00:00.000Z,Sold,2012-10-07T00:00:00.000Z,Listing removed,2012-09-20T00:00:00.000Z,Price change,2012-06-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,
